,Featuretable,Genome,TaxID,Prot_ID
0,GCF_028570285.1_ASM2857028v1_feature_table.txt,GCF_028570285.1,197,WP_172670572.1
1,GCF_025751035.1_ASM2575103v1_feature_table.txt,GCF_025751035.1,562,WP_000406300.1
2,GCF_022849225.1_ASM2284922v1_feature_table.txt,GCF_022849225.1,1463165,WP_023284967.1
3,GCF_009362375.1_ASM936237v1_feature_table.txt,GCF_009362375.1,158836,WP_032668701.1
4,GCF_022444285.1_ASM2244428v1_feature_table.txt,GCF_022444285.1,85698,WP_045953082.1
5,GCF_018499865.1_ASM1849986v1_feature_table.txt,GCF_018499865.1,562,WP_001507092.1
6,GCF_028548405.1_ASM2854840v1_feature_table.txt,GCF_028548405.1,2984201,WP_272814153.1
7,GCF_018476325.1_ASM1847632v1_feature_table.txt,GCF_018476325.1,680,WP_012127701.1
8,GCF_001657505.1_ASM165750v1_feature_table.txt,GCF_001657505.1,562,WP_000357056.1
9,GCF_024678125.1_ASM2467812v1_feature_table.txt,GCF_024678125.1,158836,WP_032668701.1
10,GCF_947047405.1_B20311_assembly_feature_table.txt,GCF_947047405.1,158836,WP_032668701.1
11,GCF_022829445.1_ASM2282944v1_feature_table.txt,GCF_022829445.1,2836649,WP_244009026.1
12,GCF_000534775.1_Ente_cloa_complex_MGH_2_V2_feature_table.txt,GCF_000534775.1,1329811,WP_230585238.1
13,GCF_016461995.1_ASM1646199v1_feature_table.txt,GCF_016461995.1,287,WP_124214370.1
14,GCF_015547695.1_ASM1554769v1_feature_table.txt,GCF_015547695.1,562,WP_000406300.1
15,GCF_022541635.1_ASM2254163v1_feature_table.txt,GCF_022541635.1,562,WP_000357056.1
16,GCF_013694285.1_ASM1369428v1_feature_table.txt,GCF_013694285.1,562,WP_000357056.1
17,GCF_001465025.1_Pseudomonas_sp._Ga0074129_feature_table.txt,GCF_001465025.1,1752219,WP_296125440.1
18,GCF_001911935.1_ASM191193v1_feature_table.txt,GCF_001911935.1,562,WP_050498773.1
19,GCF_016889505.1_ASM1688950v1_feature_table.txt,GCF_016889505.1,562,WP_021530618.1
20,GCF_004028255.1_ASM402825v1_feature_table.txt,GCF_004028255.1,553,WP_128392045.1
21,GCF_000356625.2_ASM35662v2_feature_table.txt,GCF_000356625.2,562,WP_001507092.1
22,GCF_003304675.1_ASM330467v1_feature_table.txt,GCF_003304675.1,562,WP_021530618.1
23,GCF_002887125.1_ASM288712v1_feature_table.txt,GCF_002887125.1,562,WP_000357056.1
24,GCF_003664855.1_ASM366485v1_feature_table.txt,GCF_003664855.1,573,WP_023284967.1
25,GCF_008632175.1_ASM863217v1_feature_table.txt,GCF_008632175.1,562,WP_000357056.1
26,GCF_001228485.1_7038_3_75_feature_table.txt,GCF_001228485.1,197,WP_171831519.1
27,GCF_022550335.1_ASM2255033v1_feature_table.txt,GCF_022550335.1,562,WP_001507092.1
28,GCF_900480285.1_17328_2_38_feature_table.txt,GCF_900480285.1,562,WP_106705054.1
