,Featuretable,Genome,TaxID,Prot_ID
0,GCF_009832265.1_ASM983226v1_feature_table.txt,GCF_009832265.1,573,WP_048333909.1
1,GCF_026131025.1_ASM2613102v1_feature_table.txt,GCF_026131025.1,29486,WP_245759388.1
2,GCF_028492645.1_ASM2849264v1_feature_table.txt,GCF_028492645.1,28901,WP_010835567.1
3,GCF_946228885.1_26968_7_115_feature_table.txt,GCF_946228885.1,42906,WP_234589477.1
4,GCF_002786755.1_ASM278675v1_feature_table.txt,GCF_002786755.1,573,WP_048333909.1
5,GCF_019930905.1_ASM1993090v1_feature_table.txt,GCF_019930905.1,197575,WP_006996401.1
6,GCF_030342985.1_ASM3034298v1_feature_table.txt,GCF_030342985.1,571,WP_094963528.1
7,GCF_004312825.1_ASM431282v1_feature_table.txt,GCF_004312825.1,573,WP_064757669.1
8,GCF_002032065.1_ASM203206v1_feature_table.txt,GCF_002032065.1,28901,WP_010835567.1
9,GCF_029237365.1_ASM2923736v1_feature_table.txt,GCF_029237365.1,262668,WP_275903665.1
10,GCF_025377265.1_ASM2537726v1_feature_table.txt,GCF_025377265.1,573,WP_048333909.1
11,GCF_002046115.1_ASM204611v1_feature_table.txt,GCF_002046115.1,28901,WP_010835567.1
12,GCF_003964355.1_ASM396435v1_feature_table.txt,GCF_003964355.1,158836,WP_052215455.1
13,GCF_946226235.1_26968_7_232_feature_table.txt,GCF_946226235.1,42906,WP_234589477.1
14,GCF_003936435.1_ASM393643v1_feature_table.txt,GCF_003936435.1,573,WP_048333909.1
15,GCF_028485595.1_ASM2848559v1_feature_table.txt,GCF_028485595.1,28901,WP_010835567.1
16,GCF_003571625.1_ASM357162v1_feature_table.txt,GCF_003571625.1,28901,WP_044128249.1
17,GCF_026114925.1_ASM2611492v1_feature_table.txt,GCF_026114925.1,158836,WP_052215455.1
18,GCF_030344205.1_ASM3034420v1_feature_table.txt,GCF_030344205.1,571,WP_094963528.1
19,GCF_002900115.1_ASM290011v1_feature_table.txt,GCF_002900115.1,747,WP_071522858.1
20,GCF_017810125.1_ASM1781012v1_feature_table.txt,GCF_017810125.1,158836,WP_052215455.1
21,GCF_013350625.1_ASM1335062v1_feature_table.txt,GCF_013350625.1,2555396,WP_254620828.1
22,GCF_023212505.1_ASM2321250v1_feature_table.txt,GCF_023212505.1,29486,WP_245759388.1
23,GCF_001489735.1_H063900401_feature_table.txt,GCF_001489735.1,195,WP_052795883.1
24,GCF_012276355.1_ASM1227635v1_feature_table.txt,GCF_012276355.1,384,WP_168329904.1
25,GCF_902160225.1_25426_7_157_feature_table.txt,GCF_902160225.1,2058152,WP_048333909.1
26,GCF_028482225.1_ASM2848222v1_feature_table.txt,GCF_028482225.1,2949840,WP_272564493.1
27,GCF_001882995.1_ASM188299v1_feature_table.txt,GCF_001882995.1,29486,WP_245759388.1
