,Featuretable,Genome,TaxID,Prot_ID
0,GCF_014103465.1_ASM1410346v1_feature_table.txt,GCF_014103465.1,1499973,WP_182151216.1
1,GCF_001481135.1_Salmonella_enterica_CVM_N42479_v1.0_feature_table.txt,GCF_001481135.1,28901,WP_001535513.1
2,GCF_000970675.1_ASM97067v1_feature_table.txt,GCF_000970675.1,1587527,WP_046180356.1
3,GCF_023007565.1_ASM2300756v1_feature_table.txt,GCF_023007565.1,28901,WP_016048832.1
4,GCF_000567245.1_Kleb_pneu_BIDMC_34_V1_feature_table.txt,GCF_000567245.1,573,WP_004151261.1
5,GCF_003073675.1_ASM307367v1_feature_table.txt,GCF_003073675.1,573,WP_004151261.1
6,GCF_001147205.1_6259_8_18_feature_table.txt,GCF_001147205.1,257758,WP_001002355.1
7,GCF_014855335.1_ASM1485533v1_feature_table.txt,GCF_014855335.1,1351,"WP_002410531.1, WP_142427686.1"
8,GCF_020165955.1_ASM2016595v1_feature_table.txt,GCF_020165955.1,573,WP_004151261.1
9,GCF_027698205.1_ASM2769820v1_feature_table.txt,GCF_027698205.1,1624,WP_081539065.1
10,GCF_021375815.1_ASM2137581v1_feature_table.txt,GCF_021375815.1,1352,WP_002286562.1
11,GCF_000415345.1_ASM41534v1_feature_table.txt,GCF_000415345.1,1352,WP_002330647.1
12,GCF_023660375.1_ASM2366037v1_feature_table.txt,GCF_023660375.1,573,WP_020804850.1
13,GCF_004054225.1_ASM405422v1_feature_table.txt,GCF_004054225.1,562,WP_128472651.1
14,GCF_018682115.1_ASM1868211v1_feature_table.txt,GCF_018682115.1,1280,WP_001157025.1
15,GCF_000471585.1_E_coliWa1-1.0_feature_table.txt,GCF_000471585.1,562,WP_024250838.1
16,GCF_016586515.1_ASM1658651v1_feature_table.txt,GCF_016586515.1,573,WP_020804850.1
17,GCF_002568385.1_ASM256838v1_feature_table.txt,GCF_002568385.1,1428,WP_098618024.1
18,GCF_008330605.1_ASM833060v1_feature_table.txt,GCF_008330605.1,1352,WP_010725023.1
19,GCF_002185975.2_ASM218597v2_feature_table.txt,GCF_002185975.2,573,WP_087867280.1
20,GCF_021077085.1_ASM2107708v1_feature_table.txt,GCF_021077085.1,1336,WP_050322770.1
21,GCF_022720315.1_ASM2272031v1_feature_table.txt,GCF_022720315.1,187327,WP_039899501.1
22,GCF_028483485.1_ASM2848348v1_feature_table.txt,GCF_028483485.1,2949794,WP_272517730.1
23,GCF_900194165.1_13682_2_35_feature_table.txt,GCF_900194165.1,1313,WP_001002359.1
24,GCF_029310035.1_ASM2931003v1_feature_table.txt,GCF_029310035.1,158836,WP_032665504.1
25,GCF_902704865.1_Kpngiani7132525_feature_table.txt,GCF_902704865.1,573,WP_004151261.1
26,GCF_024583935.1_ASM2458393v1_feature_table.txt,GCF_024583935.1,573,WP_061112854.1
27,GCF_030061715.1_ASM3006171v1_feature_table.txt,GCF_030061715.1,573,WP_004151261.1
28,GCF_910584225.1_MGBC119115_feature_table.txt,GCF_910584225.1,512312,WP_293738995.1
29,GCF_008867955.1_ASM886795v1_feature_table.txt,GCF_008867955.1,573,WP_004151261.1
30,GCF_001913395.1_ASM191339v1_feature_table.txt,GCF_001913395.1,1396,WP_074562990.1
31,GCF_030126565.1_ASM3012656v1_feature_table.txt,GCF_030126565.1,413502,WP_284028034.1
32,GCF_003034385.1_ASM303438v1_feature_table.txt,GCF_003034385.1,573,WP_004151261.1
33,GCF_001337335.1_6730_7_17_feature_table.txt,GCF_001337335.1,1313,WP_001863058.1
34,GCF_011038095.1_ASM1103809v1_feature_table.txt,GCF_011038095.1,573,WP_004151261.1
35,GCF_025291255.1_ASM2529125v1_feature_table.txt,GCF_025291255.1,1267021,WP_276889005.1
36,GCF_900086365.1_12082_5_9_feature_table.txt,GCF_900086365.1,573,WP_064147640.1
37,GCF_003515915.2_ASM351591v2_feature_table.txt,GCF_003515915.2,2371,WP_011097897.1
38,GCF_002033365.1_ASM203336v1_feature_table.txt,GCF_002033365.1,28901,WP_223155100.1
39,GCF_022407795.1_ASM2240779v1_feature_table.txt,GCF_022407795.1,1351,"WP_021732906.1, WP_002364225.1"
40,GCF_002835385.1_ASM283538v1_feature_table.txt,GCF_002835385.1,69966,WP_101030923.1
41,GCF_021555335.1_ASM2155533v1_feature_table.txt,GCF_021555335.1,28901,WP_057518161.1
42,GCF_002184875.2_ASM218487v2_feature_table.txt,GCF_002184875.2,573,WP_004151261.1
43,GCF_001462965.1_ASM146296v1_feature_table.txt,GCF_001462965.1,573,WP_004151261.1
44,GCF_003937555.1_ASM393755v1_feature_table.txt,GCF_003937555.1,1352,WP_002286562.1
45,GCF_002267265.1_ASM226726v1_feature_table.txt,GCF_002267265.1,1280,WP_031790236.1
46,GCF_945285465.1_SRR11267078_bin.7_metawrap_v1.3.0_MAG_feature_table.txt,GCF_945285465.1,104108,WP_295894899.1
47,GCF_027853235.1_ASM2785323v1_feature_table.txt,GCF_027853235.1,1834418,WP_270897772.1
48,GCF_000831065.1_ASM83106v1_feature_table.txt,GCF_000831065.1,658666,WP_001249544.1
49,GCF_001085385.1_7011_5_21_feature_table.txt,GCF_001085385.1,1313,WP_001002347.1
50,GCF_000698065.1_A187_feature_table.txt,GCF_000698065.1,1280,WP_001157025.1
51,GCF_022844895.1_ASM2284489v1_feature_table.txt,GCF_022844895.1,1352,WP_002286562.1
52,GCF_002235165.1_ASM223516v1_feature_table.txt,GCF_002235165.1,573,WP_004151261.1
53,GCF_007831845.1_ASM783184v1_feature_table.txt,GCF_007831845.1,1648923,"WP_043054201.1, WP_043054096.1"
54,GCF_028548405.1_ASM2854840v1_feature_table.txt,GCF_028548405.1,2984201,WP_272813738.1
55,GCF_002965885.1_ASM296588v1_feature_table.txt,GCF_002965885.1,2093886,WP_105281525.1
56,GCF_001008655.1_ASM100865v1_feature_table.txt,GCF_001008655.1,1890302,WP_046957630.1
57,GCF_008131645.1_ASM813164v1_feature_table.txt,GCF_008131645.1,1352,"WP_002286562.1, WP_148780538.1"
58,GCF_025399645.1_ASM2539964v1_feature_table.txt,GCF_025399645.1,82541,WP_053822770.1
59,GCF_002184755.2_ASM218475v2_feature_table.txt,GCF_002184755.2,573,WP_004151261.1
60,GCF_014326495.1_ASM1432649v1_feature_table.txt,GCF_014326495.1,1352,WP_002286562.1
61,GCF_002741495.1_ASM274149v1_feature_table.txt,GCF_002741495.1,562,WP_001723119.1
62,GCF_900047565.1_11860_8_49_feature_table.txt,GCF_900047565.1,1313,WP_001002359.1
63,GCF_001904325.4_ASM190432v4_feature_table.txt,GCF_001904325.4,573,WP_004151261.1
64,GCF_021555345.1_ASM2155534v1_feature_table.txt,GCF_021555345.1,28901,WP_057518161.1
65,GCF_900516945.1_18174_8_4_feature_table.txt,GCF_900516945.1,573,WP_004151261.1
66,GCF_002854775.1_ASM285477v1_feature_table.txt,GCF_002854775.1,1463165,WP_101881440.1
67,GCF_900636405.1_41767_E01_feature_table.txt,GCF_900636405.1,1499973,WP_001515791.1
68,GCF_002053045.1_ASM205304v1_feature_table.txt,GCF_002053045.1,28901,WP_000065269.1
69,GCF_030502555.1_ASM3050255v1_feature_table.txt,GCF_030502555.1,28901,WP_000065272.1
70,GCF_024515935.1_ASM2451593v1_feature_table.txt,GCF_024515935.1,1280,WP_001157025.1
71,GCF_017571625.1_ASM1757162v1_feature_table.txt,GCF_017571625.1,2819783,WP_016048832.1
72,GCF_014491595.1_ASM1449159v1_feature_table.txt,GCF_014491595.1,2665605,WP_052938575.1
73,GCF_025144545.1_ASM2514454v1_feature_table.txt,GCF_025144545.1,187327,WP_039899501.1
74,GCF_022720735.1_ASM2272073v1_feature_table.txt,GCF_022720735.1,1926307,WP_095340924.1
75,GCF_003718615.1_ASM371861v1_feature_table.txt,GCF_003718615.1,28901,WP_001515791.1
76,GCF_028335605.1_ASM2833560v1_feature_table.txt,GCF_028335605.1,1352,WP_002286562.1
77,GCF_027988345.1_ASM2798834v1_feature_table.txt,GCF_027988345.1,562,WP_001515791.1
78,GCF_001066005.1_ASM106600v1_feature_table.txt,GCF_001066005.1,582,WP_004242407.1
79,GCF_023060995.1_ASM2306099v1_feature_table.txt,GCF_023060995.1,573,WP_004151261.1
80,GCF_025958925.1_ASM2595892v1_feature_table.txt,GCF_025958925.1,1351,WP_025188251.1
81,GCF_003335785.1_ASM333578v1_feature_table.txt,GCF_003335785.1,1352,WP_002286562.1
82,GCF_019457365.1_ASM1945736v1_feature_table.txt,GCF_019457365.1,1313,WP_001002359.1
83,GCF_016905125.1_ASM1690512v1_feature_table.txt,GCF_016905125.1,1307,WP_205031930.1
84,GCF_001122845.1_7038_4_14_feature_table.txt,GCF_001122845.1,1313,WP_001865134.1
85,GCF_020216405.1_ASM2021640v1_feature_table.txt,GCF_020216405.1,562,WP_202836354.1
86,GCF_021120625.1_ASM2112062v1_feature_table.txt,GCF_021120625.1,1352,WP_002286562.1
87,GCF_001053395.1_ASM105339v1_feature_table.txt,GCF_001053395.1,208224,WP_047345155.1
88,GCF_011754435.1_ASM1175443v1_feature_table.txt,GCF_011754435.1,582,WP_166707573.1
89,GCF_000637035.1_Stap_aure_12-ST01564_V1_feature_table.txt,GCF_000637035.1,1280,WP_001157025.1
90,GCF_903935835.1_ASM_IMP12_feature_table.txt,GCF_903935835.1,573,WP_251903016.1
91,GCF_002561665.1_ASM256166v1_feature_table.txt,GCF_002561665.1,1428,WP_048564701.1
92,GCF_001925105.1_ASM192510v1_feature_table.txt,GCF_001925105.1,1648923,WP_043054201.1
93,GCF_000211035.1_ASM21103v2_feature_table.txt,GCF_000211035.1,1313,WP_001002359.1
94,GCF_002917355.1_ASM291735v1_feature_table.txt,GCF_002917355.1,562,WP_103682320.1
95,GCF_000396165.1_Ente_faec_B2670_V1_feature_table.txt,GCF_000396165.1,1351,WP_002387270.1
96,GCF_900635415.1_E6043_hybrid_assembly_feature_table.txt,GCF_900635415.1,1352,WP_002286562.1
