Featuretable,Genome,TaxID,Prot_ID
GCF_022968195.1_ASM2296819v1_feature_table.txt,GCF_022968195.1,1463165,WP_040212621.1
GCF_956459795.1_2_P1_4_feature_table.txt,GCF_956459795.1,573,WP_080031196.1
GCF_029223505.1_ASM2922350v1_feature_table.txt,GCF_029223505.1,287,WP_033991091.1
GCF_017573265.1_ASM1757326v1_feature_table.txt,GCF_017573265.1,2819701,WP_001504946.1
GCF_009832265.1_ASM983226v1_feature_table.txt,GCF_009832265.1,573,WP_094354817.1
GCF_000943095.1_ST15_feature_table.txt,GCF_000943095.1,573,WP_040120266.1
GCF_029310035.1_ASM2931003v1_feature_table.txt,GCF_029310035.1,158836,WP_276187141.1
GCF_900084325.1_11983_8_54_feature_table.txt,GCF_900084325.1,573,WP_023287162.1
GCF_017592985.1_ASM1759298v1_feature_table.txt,GCF_017592985.1,562,WP_001504946.1
GCF_029954415.1_ASM2995441v1_feature_table.txt,GCF_029954415.1,287,WP_023910166.1
GCF_900009535.1_2013_039587_32__feature_table.txt,GCF_900009535.1,28901,WP_001504946.1
GCF_001066855.1_ASM106685v1_feature_table.txt,GCF_001066855.1,584,WP_004245114.1
GCF_024357365.1_ASM2435736v1_feature_table.txt,GCF_024357365.1,573,WP_123677973.1
GCF_900636405.1_41767_E01_feature_table.txt,GCF_900636405.1,1499973,WP_001067896.1
GCF_022968285.1_ASM2296828v1_feature_table.txt,GCF_022968285.1,573,WP_080842443.1
GCF_030502555.1_ASM3050255v1_feature_table.txt,GCF_030502555.1,28901,WP_223195142.1
GCF_018275265.1_ASM1827526v1_feature_table.txt,GCF_018275265.1,573,WP_014342094.1
GCF_030502875.1_ASM3050287v1_feature_table.txt,GCF_030502875.1,28901,WP_223195142.1
GCF_020037215.1_ASM2003721v1_feature_table.txt,GCF_020037215.1,562,WP_001504946.1
GCF_012934555.1_ASM1293455v1_feature_table.txt,GCF_012934555.1,562,WP_000064337.1
GCF_900582595.1_p13.H5_feature_table.txt,GCF_900582595.1,33069,WP_122408123.1
GCF_003569965.1_ASM356996v1_feature_table.txt,GCF_003569965.1,562,WP_119122547.1
GCF_018916305.1_ASM1891630v1_feature_table.txt,GCF_018916305.1,28901,WP_001504946.1
GCF_003570605.1_ASM357060v1_feature_table.txt,GCF_003570605.1,562,WP_000064337.1
GCF_004566455.1_ASM456645v1_feature_table.txt,GCF_004566455.1,562,WP_001504946.1
GCF_022554355.1_ASM2255435v1_feature_table.txt,GCF_022554355.1,573,WP_040120266.1
GCF_013913155.1_ASM1391315v1_feature_table.txt,GCF_013913155.1,287,WP_033991091.1
GCF_029914685.1_ASM2991468v1_feature_table.txt,GCF_029914685.1,573,WP_048269887.1
GCF_023276815.1_ASM2327681v1_feature_table.txt,GCF_023276815.1,562,WP_001067896.1
GCF_900119425.1_IMG-taxon_2599185304_annotated_assembly_feature_table.txt,GCF_900119425.1,1566199,WP_072432034.1
GCF_022604455.1_ASM2260445v1_feature_table.txt,GCF_022604455.1,28901,WP_001504946.1
GCF_007657945.1_ASM765794v1_feature_table.txt,GCF_007657945.1,573,WP_040170143.1
GCF_002588535.1_ASM258853v1_feature_table.txt,GCF_002588535.1,61647,WP_193757691.1
GCF_900583405.1_p1.H12_feature_table.txt,GCF_900583405.1,33069,WP_122408123.1
GCF_029436355.1_ASM2943635v1_feature_table.txt,GCF_029436355.1,584,WP_004245114.1
GCF_028478845.1_ASM2847884v1_feature_table.txt,GCF_028478845.1,2949927,WP_140171151.1
GCF_020669375.1_ASM2066937v1_feature_table.txt,GCF_020669375.1,562,WP_001067896.1
GCF_023161185.1_ASM2316118v1_feature_table.txt,GCF_023161185.1,573,WP_040120266.1
GCF_902160265.1_25426_7_165_feature_table.txt,GCF_902160265.1,2058152,WP_080842443.1
GCF_001063175.1_ASM106317v1_feature_table.txt,GCF_001063175.1,615,WP_043147362.1
GCF_002785645.1_ASM278564v1_feature_table.txt,GCF_002785645.1,158836,WP_072105571.1
GCF_009795695.2_ASM979569v2_feature_table.txt,GCF_009795695.2,573,WP_064152236.1
GCF_002853735.1_ASM285373v1_feature_table.txt,GCF_002853735.1,573,WP_102000629.1
GCF_900241705.1_STY161_feature_table.txt,GCF_900241705.1,28901,WP_001504946.1
GCF_002853285.1_ASM285328v1_feature_table.txt,GCF_002853285.1,573,WP_040170143.1
GCF_900586615.1_p24.D1_feature_table.txt,GCF_900586615.1,33069,WP_122408123.1
GCF_029109915.1_ASM2910991v1_feature_table.txt,GCF_029109915.1,584,WP_004245114.1
GCF_009766915.1_ASM976691v1_feature_table.txt,GCF_009766915.1,562,WP_001067896.1
GCF_003065205.1_ASM306520v1_feature_table.txt,GCF_003065205.1,28901,WP_001504946.1
GCF_030503405.1_ASM3050340v1_feature_table.txt,GCF_030503405.1,28901,WP_223195142.1
GCF_003858555.1_ASM385855v1_feature_table.txt,GCF_003858555.1,573,WP_040120266.1
GCF_900478465.1_17261_8_18_feature_table.txt,GCF_900478465.1,562,WP_001067896.1
GCF_026114925.1_ASM2611492v1_feature_table.txt,GCF_026114925.1,158836,WP_265187778.1
GCF_900242085.1_STY199_feature_table.txt,GCF_900242085.1,28901,WP_001504946.1
GCF_027498295.1_ASM2749829v1_feature_table.txt,GCF_027498295.1,287,WP_023910166.1
