,Featuretable,Genome,TaxID,Prot_ID
0,GCF_001481135.1_Salmonella_enterica_CVM_N42479_v1.0_feature_table.txt,GCF_001481135.1,28901,WP_052934934.1
1,GCF_000807045.1_CFSAN024715_01.0_feature_table.txt,GCF_000807045.1,28901,WP_023233618.1
2,GCF_900707045.1_AND01-040_feature_table.txt,GCF_900707045.1,287,WP_001564525.1
3,GCF_023007565.1_ASM2300756v1_feature_table.txt,GCF_023007565.1,28901,WP_058654755.1
4,GCF_000264015.1_ASM26401v1_feature_table.txt,GCF_000264015.1,562,"WP_000930321.1, WP_000088201.1"
5,GCF_002968135.1_ASM296813v1_feature_table.txt,GCF_002968135.1,621,WP_000198445.1
6,GCF_000456905.1_Esch_coli_HVH_61_4-2736020_V1_feature_table.txt,GCF_000456905.1,562,WP_000088199.1
7,GCF_000457065.1_Esch_coli_HVH_76_4-2538717_V1_feature_table.txt,GCF_000457065.1,562,WP_000088199.1
8,GCF_000471585.1_E_coliWa1-1.0_feature_table.txt,GCF_000471585.1,562,WP_000088203.1
9,GCF_001012275.1_CFSAN026791_01.0_feature_table.txt,GCF_001012275.1,562,WP_000088201.1
10,GCF_000263935.1_ASM26393v1_feature_table.txt,GCF_000263935.1,562,"WP_000930321.1, WP_000088201.1"
11,GCF_001409875.1_9472_3_11_feature_table.txt,GCF_001409875.1,28901,WP_015995300.1
12,GCF_005041165.1_ASM504116v1_feature_table.txt,GCF_005041165.1,562,WP_231248968.1
13,GCF_900015885.1_ED729_contigs_feature_table.txt,GCF_900015885.1,562,"WP_000088201.1, WP_000930321.1"
14,GCF_001931555.1_ASM193155v1_feature_table.txt,GCF_001931555.1,28901,WP_023233618.1
15,GCF_016805905.1_ASM1680590v1_feature_table.txt,GCF_016805905.1,562,WP_000088206.1
16,GCF_005397125.1_ASM539712v1_feature_table.txt,GCF_005397125.1,562,WP_000088206.1
17,GCF_017592985.1_ASM1759298v1_feature_table.txt,GCF_017592985.1,562,WP_000930322.1
18,GCF_028492645.1_ASM2849264v1_feature_table.txt,GCF_028492645.1,28901,WP_080192195.1
19,GCF_003071325.1_ASM307132v1_feature_table.txt,GCF_003071325.1,582,WP_234420265.1
20,GCF_019281995.1_ASM1928199v1_feature_table.txt,GCF_019281995.1,562,WP_000088199.1
21,GCF_003570665.1_ASM357066v1_feature_table.txt,GCF_003570665.1,562,WP_000088199.1
22,GCF_027923285.1_ASM2792328v1_feature_table.txt,GCF_027923285.1,623,WP_000340008.1
23,GCF_002033365.1_ASM203336v1_feature_table.txt,GCF_002033365.1,28901,WP_000198433.1
24,GCF_009362175.1_ASM936217v1_feature_table.txt,GCF_009362175.1,562,WP_000088199.1
25,GCF_028616775.1_ASM2861677v1_feature_table.txt,GCF_028616775.1,587,WP_273804160.1
26,GCF_000789375.1_ASM78937v1_feature_table.txt,GCF_000789375.1,1157947,WP_038033063.1
27,GCF_010915715.1_ASM1091571v1_feature_table.txt,GCF_010915715.1,562,WP_000088203.1
28,GCF_021555335.1_ASM2155533v1_feature_table.txt,GCF_021555335.1,28901,WP_023241436.1
29,GCF_000460955.1_Esch_coli_UMEA_3222-1_V1_feature_table.txt,GCF_000460955.1,562,WP_000088199.1
30,GCF_021440825.1_ASM2144082v1_feature_table.txt,GCF_021440825.1,562,WP_016063141.1
31,GCF_002923945.1_ASM292394v1_feature_table.txt,GCF_002923945.1,562,WP_000930321.1
32,GCF_005397045.1_ASM539704v1_feature_table.txt,GCF_005397045.1,562,"WP_000930321.1, WP_000088203.1"
33,GCF_002513455.1_ASM251345v1_feature_table.txt,GCF_002513455.1,562,WP_097437836.1
34,GCF_023276795.1_ASM2327679v1_feature_table.txt,GCF_023276795.1,546,WP_248891015.1
35,GCF_002473995.1_ASM247399v1_feature_table.txt,GCF_002473995.1,562,WP_000088203.1
36,GCF_021555345.1_ASM2155534v1_feature_table.txt,GCF_021555345.1,28901,WP_023241436.1
37,GCF_000622755.2_Ec2009C-3689_feature_table.txt,GCF_000622755.2,562,"WP_000088201.1, WP_000930321.1"
38,GCF_002053045.1_ASM205304v1_feature_table.txt,GCF_002053045.1,28901,WP_023205222.1
39,GCF_004343645.1_ASM434364v1_feature_table.txt,GCF_004343645.1,2058152,WP_131930091.1
40,GCF_003113015.1_ASM311301v1_feature_table.txt,GCF_003113015.1,562,WP_001448760.1
41,GCF_030502555.1_ASM3050255v1_feature_table.txt,GCF_030502555.1,28901,WP_301969893.1
42,GCF_002464445.1_ASM246444v1_feature_table.txt,GCF_002464445.1,562,WP_000088199.1
43,GCF_014491595.1_ASM1449159v1_feature_table.txt,GCF_014491595.1,2665605,WP_079796462.1
44,GCF_030194145.1_ASM3019414v1_feature_table.txt,GCF_030194145.1,565,WP_284973172.1
45,GCF_000457045.1_Esch_coli_HVH_74_4-1034782_V1_feature_table.txt,GCF_000457045.1,562,WP_000088199.1
46,GCF_002458035.1_ASM245803v1_feature_table.txt,GCF_002458035.1,562,"WP_000088201.1, WP_000930321.1"
47,GCF_017254945.1_ASM1725494v1_feature_table.txt,GCF_017254945.1,562,WP_000088203.1
48,GCF_003322875.1_ASM332287v1_feature_table.txt,GCF_003322875.1,562,WP_000088203.1
49,GCF_026228545.1_ASM2622854v1_feature_table.txt,GCF_026228545.1,562,WP_000088199.1
50,GCF_030142865.1_ASM3014286v1_feature_table.txt,GCF_030142865.1,562,WP_284183473.1
51,GCF_011754435.1_ASM1175443v1_feature_table.txt,GCF_011754435.1,582,WP_243846828.1
52,GCF_028622555.1_ASM2862255v1_feature_table.txt,GCF_028622555.1,208962,WP_000930321.1
53,GCF_000708165.1_E_coli_EC2.contigs_feature_table.txt,GCF_000708165.1,562,WP_000088206.1
54,GCF_003077135.1_ASM307713v1_feature_table.txt,GCF_003077135.1,28901,WP_071790590.1
55,GCF_001834095.1_ASM183409v1_feature_table.txt,GCF_001834095.1,28901,WP_024156047.1
56,GCF_015547695.1_ASM1554769v1_feature_table.txt,GCF_015547695.1,562,WP_000088203.1
57,GCF_003569965.1_ASM356996v1_feature_table.txt,GCF_003569965.1,562,WP_000088199.1
58,GCF_001266615.1_ASM126661v1_feature_table.txt,GCF_001266615.1,2774053,WP_072129192.1
59,GCF_003570605.1_ASM357060v1_feature_table.txt,GCF_003570605.1,562,WP_000088199.1
60,GCF_000622595.2_Ec2009C-3996_feature_table.txt,GCF_000622595.2,562,WP_000930321.1
61,GCF_902163235.1_25964_2_101_feature_table.txt,GCF_902163235.1,1134687,WP_032720808.1
62,GCF_029718685.1_ASM2971868v1_feature_table.txt,GCF_029718685.1,1134687,WP_014229124.1
63,GCF_003119075.1_ASM311907v1_feature_table.txt,GCF_003119075.1,28901,WP_000198447.1
64,GCF_030342985.1_ASM3034298v1_feature_table.txt,GCF_030342985.1,571,WP_049594054.1
65,GCF_017491885.1_ASM1749188v1_feature_table.txt,GCF_017491885.1,2813565,WP_001564525.1
66,GCF_004312825.1_ASM431282v1_feature_table.txt,GCF_004312825.1,573,WP_049001940.1
67,GCF_022765215.1_ASM2276521v1_feature_table.txt,GCF_022765215.1,562,"WP_000930321.1, WP_000088205.1"
68,GCF_015721345.1_ASM1572134v1_feature_table.txt,GCF_015721345.1,571,WP_049594054.1
69,GCF_025599965.1_ASM2559996v1_feature_table.txt,GCF_025599965.1,208962,WP_001448760.1
70,GCF_013180955.1_ASM1318095v1_feature_table.txt,GCF_013180955.1,562,WP_000088199.1
71,GCF_002032065.1_ASM203206v1_feature_table.txt,GCF_002032065.1,28901,WP_079803182.1
72,GCF_023276815.1_ASM2327681v1_feature_table.txt,GCF_023276815.1,562,WP_000088207.1
73,GCF_014607575.1_ASM1460757v1_feature_table.txt,GCF_014607575.1,562,WP_223720290.1
74,GCF_030343865.1_ASM3034386v1_feature_table.txt,GCF_030343865.1,571,WP_004101611.1
75,GCF_003360235.1_ASM336023v1_feature_table.txt,GCF_003360235.1,562,WP_000088203.1
76,GCF_002522265.1_ASM252226v1_feature_table.txt,GCF_002522265.1,562,WP_000088199.1
77,GCF_002204205.1_ASM220420v1_feature_table.txt,GCF_002204205.1,29488,WP_088371126.1
78,GCF_015721745.1_ASM1572174v1_feature_table.txt,GCF_015721745.1,1134687,WP_032693411.1
79,GCF_002200475.1_ASM220047v1_feature_table.txt,GCF_002200475.1,28901,WP_023233618.1
80,GCF_002035555.1_ASM203555v1_feature_table.txt,GCF_002035555.1,28901,WP_058820262.1
81,GCF_001440565.1_ASM144056v1_feature_table.txt,GCF_001440565.1,562,WP_000088202.1
82,GCF_003307075.1_ASM330707v1_feature_table.txt,GCF_003307075.1,562,WP_000088203.1
83,GCF_003431475.1_ASM343147v1_feature_table.txt,GCF_003431475.1,28901,WP_058820262.1
84,GCF_002195175.1_ASM219517v1_feature_table.txt,GCF_002195175.1,562,WP_000088203.1
85,GCF_020669375.1_ASM2066937v1_feature_table.txt,GCF_020669375.1,562,WP_000088201.1
86,GCF_003721875.1_ASM372187v1_feature_table.txt,GCF_003721875.1,562,WP_225376715.1
87,GCF_002769355.1_ASM276935v1_feature_table.txt,GCF_002769355.1,562,WP_000930321.1
88,GCF_000713675.1_ASM71367v1_feature_table.txt,GCF_000713675.1,562,WP_000088199.1
89,GCF_902160265.1_25426_7_165_feature_table.txt,GCF_902160265.1,2058152,WP_004139179.1
90,GCF_002047575.1_ASM204757v1_feature_table.txt,GCF_002047575.1,28901,WP_000198447.1
91,GCF_021568675.1_ASM2156867v1_feature_table.txt,GCF_021568675.1,562,WP_000088202.1
92,GCF_005392165.1_ASM539216v1_feature_table.txt,GCF_005392165.1,562,WP_000088201.1
93,GCF_001286425.1_7553_7_68_feature_table.txt,GCF_001286425.1,562,WP_000088206.1
94,GCF_000471265.1_E_coliM12-1.0_feature_table.txt,GCF_000471265.1,562,WP_000088203.1
95,GCF_001608285.1_ASM160828v1_feature_table.txt,GCF_001608285.1,562,WP_225376715.1
96,GCF_000703325.1_Ec2011C-3274_feature_table.txt,GCF_000703325.1,562,WP_000930321.1
97,GCF_939535315.1_ROAR-440_feature_table.txt,GCF_939535315.1,562,WP_216241648.1
98,GCF_004150065.1_ASM415006v1_feature_table.txt,GCF_004150065.1,562,"WP_000088205.1, WP_000088199.1"
99,GCF_008632175.1_ASM863217v1_feature_table.txt,GCF_008632175.1,562,WP_000088199.1
100,GCF_000356305.2_ASM35630v2_feature_table.txt,GCF_000356305.2,562,WP_016063141.1
101,GCF_019448475.1_ASM1944847v1_feature_table.txt,GCF_019448475.1,1639133,WP_219988200.1
102,GCF_002554325.1_ASM255432v1_feature_table.txt,GCF_002554325.1,562,WP_000088203.1
