,Featuretable,Genome,TaxID,Prot_ID
0,GCF_016950275.1_ASM1695027v1_feature_table.txt,GCF_016950275.1,1905730,WP_232486675.1
1,GCF_023660375.1_ASM2366037v1_feature_table.txt,GCF_023660375.1,573,WP_016530182.1
2,GCF_030286985.1_ASM3028698v1_feature_table.txt,GCF_030286985.1,573,WP_016530182.1
3,GCF_904866325.1_INF299_feature_table.txt,GCF_904866325.1,573,WP_016530182.1
4,GCF_016586515.1_ASM1658651v1_feature_table.txt,GCF_016586515.1,573,WP_016530182.1
5,GCF_022849225.1_ASM2284922v1_feature_table.txt,GCF_022849225.1,1463165,WP_016530182.1
6,GCF_022112375.1_ASM2211237v1_feature_table.txt,GCF_022112375.1,28197,WP_004510191.1
7,GCF_002185975.2_ASM218597v2_feature_table.txt,GCF_002185975.2,573,WP_016530182.1
8,GCF_016527535.1_ASM1652753v1_feature_table.txt,GCF_016527535.1,573,WP_016530182.1
9,GCF_904866235.1_INF122_feature_table.txt,GCF_904866235.1,573,WP_016530182.1
10,GCF_900501735.1_18623_2_105_feature_table.txt,GCF_900501735.1,573,WP_016530182.1
11,GCF_004830605.1_ASM483060v1_feature_table.txt,GCF_004830605.1,573,WP_016530182.1
12,GCF_900084325.1_11983_8_54_feature_table.txt,GCF_900084325.1,573,WP_016530182.1
13,GCF_024583935.1_ASM2458393v1_feature_table.txt,GCF_024583935.1,573,WP_016530182.1
14,GCF_023003565.1_ASM2300356v1_feature_table.txt,GCF_023003565.1,573,WP_016530182.1
15,GCF_003034385.1_ASM303438v1_feature_table.txt,GCF_003034385.1,573,WP_039817888.1
16,GCF_900086365.1_12082_5_9_feature_table.txt,GCF_900086365.1,573,WP_016530182.1
17,GCF_902387665.1_UHGG_MGYG-HGUT-02494_feature_table.txt,GCF_902387665.1,545,WP_110123611.1
18,GCF_001310895.1_ASM131089v1_feature_table.txt,GCF_001310895.1,1482,WP_060678781.1
19,GCF_900607715.1_kpneu016_feature_table.txt,GCF_900607715.1,1463165,WP_016530182.1
20,GCF_900500845.1_18489_5_77_feature_table.txt,GCF_900500845.1,573,WP_039817888.1
21,GCF_902705635.1_21867_KR396_feature_table.txt,GCF_902705635.1,573,WP_016530182.1
22,GCF_002786755.1_ASM278675v1_feature_table.txt,GCF_002786755.1,573,WP_039817888.1
23,GCF_900504095.1_19084_3_141_feature_table.txt,GCF_900504095.1,573,WP_016530182.1
24,GCF_004343645.1_ASM434364v1_feature_table.txt,GCF_004343645.1,2058152,WP_017145578.1
25,GCF_902509165.1_ZKP156_feature_table.txt,GCF_902509165.1,573,WP_016530182.1
26,GCF_900504445.1_19084_3_18_feature_table.txt,GCF_900504445.1,573,WP_016530182.1
27,GCF_001908515.1_ASM190851v1_feature_table.txt,GCF_001908515.1,573,WP_016530182.1
28,GCF_015643915.1_ASM1564391v1_feature_table.txt,GCF_015643915.1,1463165,WP_016530182.1
29,GCF_004831765.1_ASM483176v1_feature_table.txt,GCF_004831765.1,573,WP_016530182.1
