Featuretable,Genome,TaxID,Prot_ID
GCF_021013155.1_ASM2101315v1_feature_table.txt,GCF_021013155.1,287,WP_023094362.1
GCF_019126775.1_ASM1912677v1_feature_table.txt,GCF_019126775.1,1685,WP_217297541.1
GCF_023660375.1_ASM2366037v1_feature_table.txt,GCF_023660375.1,573,WP_238973186.1
GCF_026788435.1_ASM2678843v1_feature_table.txt,GCF_026788435.1,2918910,WP_268360186.1
GCF_027854285.1_ASM2785428v1_feature_table.txt,GCF_027854285.1,95486,WP_270956809.1
GCF_002962565.1_ASM296256v1_feature_table.txt,GCF_002962565.1,1307,WP_015646529.1
GCF_014228485.1_ASM1422848v1_feature_table.txt,GCF_014228485.1,1552123,WP_185537990.1
GCF_020639365.1_ASM2063936v1_feature_table.txt,GCF_020639365.1,66888,WP_229340044.1
GCF_000491115.1_S055_feature_table.txt,GCF_000491115.1,670,WP_025558403.1
GCF_020089065.1_ASM2008906v1_feature_table.txt,GCF_020089065.1,115778,WP_224132516.1
GCF_947496665.1_389-3Z.fasta_feature_table.txt,GCF_947496665.1,622614,WP_213829572.1
GCF_023110065.1_ASM2311006v1_feature_table.txt,GCF_023110065.1,1303,WP_213987986.1
GCF_023717725.1_ASM2371772v1_feature_table.txt,GCF_023717725.1,287,WP_071540815.1
GCF_018919065.1_ASM1891906v1_feature_table.txt,GCF_018919065.1,2841511,WP_216460352.1
GCF_019688825.1_ASM1968882v1_feature_table.txt,GCF_019688825.1,251701,WP_007245660.1
GCF_017314125.1_ASM1731412v1_feature_table.txt,GCF_017314125.1,1639,WP_003734567.1
GCF_027862595.1_ASM2786259v1_feature_table.txt,GCF_027862595.1,1311,WP_223877118.1
GCF_010500075.1_ASM1050007v1_feature_table.txt,GCF_010500075.1,470,WP_223237941.1
GCF_026781445.1_ASM2678144v1_feature_table.txt,GCF_026781445.1,1305,WP_002934222.1
GCF_007558385.1_ASM755838v1_feature_table.txt,GCF_007558385.1,562,WP_023156284.1
GCF_015262355.1_ASM1526235v1_feature_table.txt,GCF_015262355.1,470565,WP_278545484.1
GCF_016905125.1_ASM1690512v1_feature_table.txt,GCF_016905125.1,1307,WP_202848738.1
GCF_021028455.1_ASM2102845v1_feature_table.txt,GCF_021028455.1,562,WP_001538235.1
GCF_004347335.1_ASM434733v1_feature_table.txt,GCF_004347335.1,1639,WP_003734567.1
GCF_024746795.1_ASM2474679v1_feature_table.txt,GCF_024746795.1,2865839,WP_258608224.1
GCF_006348975.1_ASM634897v1_feature_table.txt,GCF_006348975.1,1639,WP_003734567.1
GCF_029133815.1_ASM2913381v1_feature_table.txt,GCF_029133815.1,562,WP_001279022.1
GCF_010206235.1_ASM1020623v1_feature_table.txt,GCF_010206235.1,328812,WP_010803347.1
GCF_017314325.1_ASM1731432v1_feature_table.txt,GCF_017314325.1,1639,WP_003734567.1
GCF_001054035.1_ASM105403v1_feature_table.txt,GCF_001054035.1,1351,WP_002380565.1
GCF_015549035.1_ASM1554903v1_feature_table.txt,GCF_015549035.1,2787105,WP_138308949.1
GCF_001516515.1_ASM151651v1_feature_table.txt,GCF_001516515.1,197,WP_002825529.1
GCF_006377575.1_ASM637757v1_feature_table.txt,GCF_006377575.1,670,WP_180913156.1
GCF_009788665.1_ASM978866v1_feature_table.txt,GCF_009788665.1,1639,WP_003734567.1
GCF_000791945.1_AZPAE14969_feature_table.txt,GCF_000791945.1,287,WP_071540815.1
GCF_024238935.1_ASM2423893v1_feature_table.txt,GCF_024238935.1,1463165,WP_181937311.1
GCF_004005815.1_ASM400581v1_feature_table.txt,GCF_004005815.1,1932778,WP_127705352.1
GCF_014397645.1_ASM1439764v1_feature_table.txt,GCF_014397645.1,2615205,WP_187610829.1
GCF_026537985.1_ASM2653798v1_feature_table.txt,GCF_026537985.1,670,WP_267400627.1
GCF_022408475.1_ASM2240847v1_feature_table.txt,GCF_022408475.1,1351,WP_002380565.1
GCF_019689165.1_ASM1968916v1_feature_table.txt,GCF_019689165.1,251701,WP_007245660.1
GCF_002557205.1_ASM255720v1_feature_table.txt,GCF_002557205.1,1890302,WP_098110528.1
GCF_900110315.1_IMG-taxon_2617270876_annotated_assembly_feature_table.txt,GCF_900110315.1,1333845,WP_051500483.1
GCF_900037325.1_12754_5_40_feature_table.txt,GCF_900037325.1,1639,WP_003734567.1
GCF_001441485.1_ASM144148v1_feature_table.txt,GCF_001441485.1,470,WP_031958247.1
GCF_014750645.1_ASM1475064v1_feature_table.txt,GCF_014750645.1,208224,WP_190984147.1
GCF_029733545.1_ASM2973354v1_feature_table.txt,GCF_029733545.1,1351,WP_002380565.1
GCF_943733185.1_ec_82078_feature_table.txt,GCF_943733185.1,562,WP_029402337.1
GCF_027854715.1_ASM2785471v1_feature_table.txt,GCF_027854715.1,2919385,WP_002132328.1
GCF_028898725.1_ASM2889872v1_feature_table.txt,GCF_028898725.1,669,WP_274887499.1
GCF_002087015.1_ASM208701v1_feature_table.txt,GCF_002087015.1,85336,WP_083092627.1
GCF_003837365.1_ASM383736v1_feature_table.txt,GCF_003837365.1,287,WP_071540815.1
GCF_018109085.1_ASM1810908v1_feature_table.txt,GCF_018109085.1,573,WP_040231036.1
GCF_910573775.1_MGBC000005_feature_table.txt,GCF_910573775.1,821,WP_009036650.1
GCF_001751375.1_ASM175137v1_feature_table.txt,GCF_001751375.1,943816,WP_069990446.1
GCF_948944065.1_MGBC123459_feature_table.txt,GCF_948944065.1,59617,WP_276951002.1
GCF_019430585.1_ASM1943058v1_feature_table.txt,GCF_019430585.1,287,WP_023094362.1
GCF_001892445.1_ASM189244v1_feature_table.txt,GCF_001892445.1,562,WP_029402337.1
GCF_014526645.1_ASM1452664v1_feature_table.txt,GCF_014526645.1,1639,WP_070231587.1
GCF_019537135.1_ASM1953713v1_feature_table.txt,GCF_019537135.1,238834,WP_258879733.1
GCF_002573715.1_ASM257371v1_feature_table.txt,GCF_002573715.1,2044275,WP_098742052.1
GCF_000588675.1_ASM58867v1_feature_table.txt,GCF_000588675.1,470,WP_031958247.1
GCF_900452905.1_57428_D02_feature_table.txt,GCF_900452905.1,1639,WP_003734567.1
GCF_003044985.1_ASM304498v1_feature_table.txt,GCF_003044985.1,495,WP_107854340.1
GCF_002147935.1_ASM214793v1_feature_table.txt,GCF_002147935.1,1428,WP_088080515.1
GCF_024136405.1_ASM2413640v1_feature_table.txt,GCF_024136405.1,1307,WP_105116401.1
GCF_027862785.1_ASM2786278v1_feature_table.txt,GCF_027862785.1,1311,WP_049513486.1
GCF_012871055.1_ASM1287105v1_feature_table.txt,GCF_012871055.1,29448,WP_172647736.1
GCF_000439065.1_ASM43906v1_feature_table.txt,GCF_000439065.1,28131,WP_028906075.1
GCF_029733765.1_ASM2973376v1_feature_table.txt,GCF_029733765.1,1351,WP_002380565.1
GCF_013625745.1_ASM1362574v1_feature_table.txt,GCF_013625745.1,1643,WP_011701148.1
GCF_002550295.1_ASM255029v1_feature_table.txt,GCF_002550295.1,1428,WP_097924102.1
GCF_900984625.1_19944_7_174_feature_table.txt,GCF_900984625.1,1314,WP_014407716.1
GCF_001815545.1_ASM181554v1_feature_table.txt,GCF_001815545.1,1739535,WP_070630235.1
GCF_000825125.1_BIB1401272845a.V1_feature_table.txt,GCF_000825125.1,216816,WP_012577494.1
GCF_001273925.1_ASM127392v1_feature_table.txt,GCF_001273925.1,1684142,WP_053363449.1
GCF_003064265.1_ASM306426v1_feature_table.txt,GCF_003064265.1,28901,WP_070793464.1
GCF_003435675.1_ASM343567v1_feature_table.txt,GCF_003435675.1,2292971,WP_117511000.1
GCF_001830745.1_ASM183074v1_feature_table.txt,GCF_001830745.1,1802249,WP_299805435.1
GCF_002137755.1_ASM213775v1_feature_table.txt,GCF_002137755.1,470,WP_031958247.1
GCF_019430625.1_ASM1943062v1_feature_table.txt,GCF_019430625.1,287,WP_023094362.1
GCF_027922925.1_ASM2792292v1_feature_table.txt,GCF_027922925.1,28901,WP_001538235.1
GCF_947498095.1_4-924.fasta_feature_table.txt,GCF_947498095.1,573152,WP_282094177.1
GCF_022682475.1_ASM2268247v1_feature_table.txt,GCF_022682475.1,1639,WP_014952543.1
GCF_019264485.1_ASM1926448v1_feature_table.txt,GCF_019264485.1,1917865,WP_295200531.1
GCF_004372275.1_ASM437227v1_feature_table.txt,GCF_004372275.1,287,WP_023094362.1
GCF_001235765.1_7065_7_62_feature_table.txt,GCF_001235765.1,197,WP_052802415.1
GCF_020560265.1_ASM2056026v1_feature_table.txt,GCF_020560265.1,820,WP_033572634.1
GCF_005406285.1_ASM540628v1_feature_table.txt,GCF_005406285.1,216816,WP_008783518.1
GCF_001058435.1_ASM105843v1_feature_table.txt,GCF_001058435.1,729,WP_049364048.1
GCF_024136025.1_ASM2413602v1_feature_table.txt,GCF_024136025.1,1307,WP_105116401.1
GCF_022547075.1_ASM2254707v1_feature_table.txt,GCF_022547075.1,562,WP_023156284.1
GCF_001727965.1_ASM172796v1_feature_table.txt,GCF_001727965.1,670,WP_069484939.1
GCF_017347115.1_ASM1734711v1_feature_table.txt,GCF_017347115.1,2789297,WP_207176509.1
GCF_010078215.1_ASM1007821v1_feature_table.txt,GCF_010078215.1,562,WP_001538235.1
GCF_027854595.1_ASM2785459v1_feature_table.txt,GCF_027854595.1,2919391,WP_002132328.1
GCF_001481885.1_ASM148188v1_feature_table.txt,GCF_001481885.1,1639,WP_003734567.1
GCF_017696645.1_ASM1769664v1_feature_table.txt,GCF_017696645.1,1639,WP_003734567.1
GCF_020732895.1_ASM2073289v1_feature_table.txt,GCF_020732895.1,562,WP_047649912.1
GCF_021891875.1_ASM2189187v1_feature_table.txt,GCF_021891875.1,287,WP_023094362.1
GCF_003606935.1_ASM360693v1_feature_table.txt,GCF_003606935.1,1639,WP_003734567.1
GCF_017599135.1_ASM1759913v1_feature_table.txt,GCF_017599135.1,1307,WP_202848738.1
GCF_028885825.1_ASM2888582v1_feature_table.txt,GCF_028885825.1,615,WP_274851977.1
GCF_014324265.1_ASM1432426v1_feature_table.txt,GCF_014324265.1,1639,WP_014952543.1
GCF_030407895.1_ASM3040789v1_feature_table.txt,GCF_030407895.1,3035185,WP_290208148.1
GCF_003473565.1_ASM347356v1_feature_table.txt,GCF_003473565.1,2293023,WP_118293578.1
GCF_026789165.1_ASM2678916v1_feature_table.txt,GCF_026789165.1,483913,WP_268278084.1
GCF_021504115.1_ASM2150411v1_feature_table.txt,GCF_021504115.1,562,WP_001279022.1
GCF_010602695.1_ASM1060269v1_feature_table.txt,GCF_010602695.1,573,WP_077267454.1
GCF_002963435.1_ASM296343v1_feature_table.txt,GCF_002963435.1,1307,WP_024395223.1
GCF_001865835.1_ASM186583v1_feature_table.txt,GCF_001865835.1,1458492,WP_006266994.1
GCF_003410175.1_ASM341017v1_feature_table.txt,GCF_003410175.1,339,WP_228423467.1
GCF_000403175.1_Bact_unif_dnLKV2_V1_feature_table.txt,GCF_000403175.1,820,WP_016272703.1
GCF_001498815.1_2012_292995_18_feature_table.txt,GCF_001498815.1,1639,WP_003734567.1
GCF_029134295.1_ASM2913429v1_feature_table.txt,GCF_029134295.1,562,WP_001279022.1
