Featuretable,Genome,TaxID,Prot_ID
GCF_001266615.1_ASM126661v1_feature_table.txt,GCF_001266615.1,2774053,WP_052284148.1
GCF_003958205.1_ASM395820v1_feature_table.txt,GCF_003958205.1,615,WP_118892222.1
GCF_009914295.1_ASM991429v1_feature_table.txt,GCF_009914295.1,562,WP_016063366.1
GCF_003958565.1_ASM395856v1_feature_table.txt,GCF_003958565.1,615,WP_118892222.1
GCF_001525305.1_ASM152530v1_feature_table.txt,GCF_001525305.1,158836,WP_006809187.1
GCF_023897125.1_ASM2389712v1_feature_table.txt,GCF_023897125.1,158836,WP_006809187.1
GCF_902207215.1_CIP111011_feature_table.txt,GCF_902207215.1,61651,WP_237648770.1
GCF_022489605.1_ASM2248960v1_feature_table.txt,GCF_022489605.1,562,WP_032943882.1
GCF_019645955.1_ASM1964595v1_feature_table.txt,GCF_019645955.1,35703,WP_233622521.1
GCF_024006975.1_ASM2400697v1_feature_table.txt,GCF_024006975.1,158836,WP_006809187.1
GCF_916173005.1_BCWGS195_feature_table.txt,GCF_916173005.1,244366,WP_004864269.1
GCF_001188835.1_ASM118883v1_feature_table.txt,GCF_001188835.1,732,WP_044055208.1
GCF_003958575.1_ASM395857v1_feature_table.txt,GCF_003958575.1,615,WP_118892222.1
GCF_946227065.1_26968_7_6_feature_table.txt,GCF_946227065.1,47917,WP_261458140.1
GCF_003290675.1_ASM329067v1_feature_table.txt,GCF_003290675.1,562,WP_016063366.1
GCF_011006915.1_ASM1100691v1_feature_table.txt,GCF_011006915.1,158836,WP_006809187.1
GCF_016888105.1_ASM1688810v1_feature_table.txt,GCF_016888105.1,54291,WP_032722434.1
GCF_001022685.1_ASM102268v1_feature_table.txt,GCF_001022685.1,57706,WP_032943882.1
GCF_001473055.1_SMART_1020.v1_feature_table.txt,GCF_001473055.1,158836,WP_006809187.1
GCF_002538315.1_ASM253831v1_feature_table.txt,GCF_002538315.1,562,WP_016063366.1
GCF_028619255.1_ASM2861925v1_feature_table.txt,GCF_028619255.1,1245,WP_273705132.1
GCF_030128645.1_ASM3012864v1_feature_table.txt,GCF_030128645.1,2920183,WP_080895612.1
GCF_004309675.1_ASM430967v1_feature_table.txt,GCF_004309675.1,562,WP_086590314.1
GCF_003026875.1_ASM302687v1_feature_table.txt,GCF_003026875.1,56192,WP_045039001.1
GCF_014163975.1_ASM1416397v1_feature_table.txt,GCF_014163975.1,2760949,WP_182682108.1
GCF_014712635.1_ASM1471263v1_feature_table.txt,GCF_014712635.1,57706,WP_016152713.1
GCF_000398845.1_Esch_coli_KTE151_V1_feature_table.txt,GCF_000398845.1,1169322,WP_016152713.1
GCF_002317885.1_ASM231788v1_feature_table.txt,GCF_002317885.1,573,WP_004864269.1
GCF_029075655.1_ASM2907565v1_feature_table.txt,GCF_029075655.1,546,WP_032943882.1
GCF_002965345.1_ASM296534v1_feature_table.txt,GCF_002965345.1,2093879,WP_086590314.1
GCF_002787395.1_ASM278739v1_feature_table.txt,GCF_002787395.1,2051905,WP_006809187.1
GCF_006350295.1_ASM635029v1_feature_table.txt,GCF_006350295.1,562,WP_016063366.1
GCF_014930525.1_ASM1493052v1_feature_table.txt,GCF_014930525.1,2779539,WP_226876022.1
GCF_009793465.1_ASM979346v1_feature_table.txt,GCF_009793465.1,28450,WP_237377149.1
GCF_011392735.1_ASM1139273v1_feature_table.txt,GCF_011392735.1,158836,WP_006809187.1
GCF_018069155.1_ASM1806915v1_feature_table.txt,GCF_018069155.1,548,WP_032722434.1
GCF_018274765.1_ASM1827476v1_feature_table.txt,GCF_018274765.1,645,WP_212539854.1
GCF_030165245.1_ASM3016524v1_feature_table.txt,GCF_030165245.1,158836,WP_006809187.1
GCF_022137035.1_NA_feature_table.txt,GCF_022137035.1,818,WP_117577027.1
GCF_016730005.1_ASM1673000v1_feature_table.txt,GCF_016730005.1,196024,WP_201990061.1
GCF_000521945.1_Citr_freu_UCI_32_V1_feature_table.txt,GCF_000521945.1,1639133,WP_032943882.1
GCF_019048885.1_ASM1904888v1_feature_table.txt,GCF_019048885.1,548,WP_032722434.1
GCF_012952645.1_ASM1295264v1_feature_table.txt,GCF_012952645.1,57706,WP_016152713.1
GCF_948494195.1_MGBC155984_feature_table.txt,GCF_948494195.1,1871006,WP_277134373.1
GCF_002229415.1_ASM222941v1_feature_table.txt,GCF_002229415.1,562,WP_086590314.1
GCF_016889745.1_ASM1688974v1_feature_table.txt,GCF_016889745.1,47678,WP_005676469.1
GCF_000404105.1_DiZe_1.0_feature_table.txt,GCF_000404105.1,204042,WP_038926684.1
GCF_028618815.1_ASM2861881v1_feature_table.txt,GCF_028618815.1,1245,WP_273705132.1
GCF_000247895.1_Kleb_oxyt_10-5246_V1_feature_table.txt,GCF_000247895.1,54291,WP_004864269.1
GCF_900593855.1_10156_4_34_feature_table.txt,GCF_900593855.1,28450,WP_082759176.1
GCF_016503835.1_ASM1650383v1_feature_table.txt,GCF_016503835.1,1702170,WP_032943882.1
GCF_009208675.1_ASM920867v1_feature_table.txt,GCF_009208675.1,573,WP_004864269.1
GCF_001472215.1_SMART_405.v1_feature_table.txt,GCF_001472215.1,158836,WP_006809187.1
GCF_029434035.1_ASM2943403v1_feature_table.txt,GCF_029434035.1,562,WP_016063366.1
GCF_003958165.1_ASM395816v1_feature_table.txt,GCF_003958165.1,615,WP_118892222.1
GCF_009757245.1_ASM975724v1_feature_table.txt,GCF_009757245.1,548,WP_032722434.1
GCF_019270335.1_ASM1927033v1_feature_table.txt,GCF_019270335.1,57706,WP_016152713.1
GCF_002875495.1_ASM287549v1_feature_table.txt,GCF_002875495.1,29497,WP_102494604.1
GCF_004005145.1_ASM400514v1_feature_table.txt,GCF_004005145.1,158836,WP_006809187.1
GCF_015550025.1_ASM1555002v1_feature_table.txt,GCF_015550025.1,28116,WP_005676469.1
GCF_002863975.1_ASM286397v1_feature_table.txt,GCF_002863975.1,548,WP_032722434.1
GCF_003362755.1_ASM336275v1_feature_table.txt,GCF_003362755.1,2213058,WP_115467957.1
GCF_014164245.1_ASM1416424v1_feature_table.txt,GCF_014164245.1,2760965,WP_182682108.1
GCF_018422515.1_ASM1842251v1_feature_table.txt,GCF_018422515.1,158836,WP_006809187.1
GCF_030386695.1_ASM3038669v1_feature_table.txt,GCF_030386695.1,948519,WP_289982544.1
GCF_025146315.1_ASM2514631v1_feature_table.txt,GCF_025146315.1,47678,WP_005676469.1
GCF_001011815.1_ASM101181v1_feature_table.txt,GCF_001011815.1,548,WP_032722434.1
GCF_003687945.1_ASM368794v1_feature_table.txt,GCF_003687945.1,158836,WP_006809187.1
GCF_903986725.1_B1JAC2_feature_table.txt,GCF_903986725.1,50719,WP_065646482.1
GCF_024787555.1_ASM2478755v1_feature_table.txt,GCF_024787555.1,818,WP_117577027.1
GCF_002467555.1_ASM246755v1_feature_table.txt,GCF_002467555.1,562,WP_016063366.1
GCF_001472605.1_SMART_661.v1_feature_table.txt,GCF_001472605.1,158836,WP_006809187.1
GCF_004377985.1_ASM437798v1_feature_table.txt,GCF_004377985.1,562,WP_086590314.1
