Featuretable,Genome,TaxID,Prot_ID
GCF_001513965.1_ASM151396v1_feature_table.txt,GCF_001513965.1,67285,WP_067005692.1
GCF_001083785.1_Nonomuraea_sp_SBT364_SPAdes_SSPACE_feature_table.txt,GCF_001083785.1,1580530,WP_156325819.1
GCF_017301635.1_ASM1730163v1_feature_table.txt,GCF_017301635.1,2813577,WP_206713092.1
GCF_025176705.1_ASM2517670v1_feature_table.txt,GCF_025176705.1,573,WP_032420807.1
GCF_003382285.1_ASM338228v1_feature_table.txt,GCF_003382285.1,453783,WP_115841952.1
GCF_001905905.1_ASM190590v1_feature_table.txt,GCF_001905905.1,1703935,WP_073770363.1
GCF_900182975.1_IMG-taxon_2681813503_annotated_assembly_feature_table.txt,GCF_900182975.1,373671,WP_283417626.1
GCF_000805715.1_Providencia_rettgeri_CCBH11880_NDM-1_feature_table.txt,GCF_000805715.1,587,WP_042844826.1
GCF_002549575.1_ASM254957v1_feature_table.txt,GCF_002549575.1,562,WP_000210934.1
GCF_001056335.1_ASM105633v1_feature_table.txt,GCF_001056335.1,817,WP_005817730.1
GCF_001074715.1_ASM107471v1_feature_table.txt,GCF_001074715.1,1282,WP_002484791.1
GCF_014531175.1_ASM1453117v1_feature_table.txt,GCF_014531175.1,470,WP_002068223.1
GCF_001144005.1_8727_5_62_feature_table.txt,GCF_001144005.1,485,WP_025455900.1
GCF_017939605.1_ASM1793960v1_feature_table.txt,GCF_017939605.1,198620,WP_210709377.1
GCF_026340565.1_ASM2634056v1_feature_table.txt,GCF_026340565.1,2903573,WP_266301080.1
GCF_000735205.1_ASM73520v1_feature_table.txt,GCF_000735205.1,1117645,WP_009085121.1
GCF_020639365.1_ASM2063936v1_feature_table.txt,GCF_020639365.1,66888,WP_030860788.1
GCF_002080675.1_ASM208067v1_feature_table.txt,GCF_002080675.1,562,WP_000210934.1
GCF_027171405.1_ASM2717140v1_feature_table.txt,GCF_027171405.1,3009077,WP_179422634.1
GCF_009677285.1_ASM967728v1_feature_table.txt,GCF_009677285.1,823,WP_022193251.1
