,Featuretable,Genome,TaxID,Prot_ID
0,GCF_904842315.1_PLATE2_E5_feature_table.txt,GCF_904842315.1,562,WP_032083264.1
1,GCF_002972955.1_ASM297295v1_feature_table.txt,GCF_002972955.1,562,WP_105456049.1
2,GCF_026459945.1_ASM2645994v1_feature_table.txt,GCF_026459945.1,573,WP_032749552.1
3,GCF_902507485.1_SRRSH35_feature_table.txt,GCF_902507485.1,573,WP_032749552.1
4,GCF_003980905.1_ASM398090v1_feature_table.txt,GCF_003980905.1,562,WP_000202162.1
5,GCF_017573265.1_ASM1757326v1_feature_table.txt,GCF_017573265.1,2819701,WP_023891434.1
6,GCF_022849225.1_ASM2284922v1_feature_table.txt,GCF_022849225.1,1463165,WP_023289182.1
7,GCF_003984445.1_ASM398444v1_feature_table.txt,GCF_003984445.1,562,WP_000202162.1
8,GCF_002080675.1_ASM208067v1_feature_table.txt,GCF_002080675.1,562,WP_001168526.1
9,GCF_014491865.1_ASM1449186v1_feature_table.txt,GCF_014491865.1,2665592,WP_023891434.1
10,GCF_026131025.1_ASM2613102v1_feature_table.txt,GCF_026131025.1,29486,WP_038240779.1
11,GCF_009362375.1_ASM936237v1_feature_table.txt,GCF_009362375.1,158836,WP_032648738.1
12,GCF_001221325.1_8080_3_16_feature_table.txt,GCF_001221325.1,28901,WP_023891434.1
13,GCF_003037585.1_ASM303758v1_feature_table.txt,GCF_003037585.1,573,WP_032749552.1
14,GCF_902387775.1_UHGG_MGYG-HGUT-02500_feature_table.txt,GCF_902387775.1,550,WP_095907467.1
15,GCF_002751185.1_ASM275118v1_feature_table.txt,GCF_002751185.1,573,WP_032749552.1
16,GCF_001066555.1_ASM106655v1_feature_table.txt,GCF_001066555.1,244366,WP_023289182.1
17,GCF_002811325.3_ASM281132v3_feature_table.txt,GCF_002811325.3,573,WP_032749552.1
18,GCF_002033365.1_ASM203336v1_feature_table.txt,GCF_002033365.1,28901,WP_001650217.1
19,GCF_002033365.1_ASM203336v1_feature_table.txt,GCF_002033365.1,28901,WP_016062816.1
20,GCF_003116285.1_ASM311628v1_feature_table.txt,GCF_003116285.1,573,WP_032749552.1
21,GCF_002032305.1_ASM203230v1_feature_table.txt,GCF_002032305.1,28901,WP_000064923.1
22,GCF_900009535.1_2013_039587_32__feature_table.txt,GCF_900009535.1,28901,WP_023891434.1
23,GCF_028479425.1_ASM2847942v1_feature_table.txt,GCF_028479425.1,2949908,WP_154599356.1
24,GCF_026008975.1_ASM2600897v1_feature_table.txt,GCF_026008975.1,573,WP_016160651.1
25,GCF_020012055.1_ASM2001205v1_feature_table.txt,GCF_020012055.1,28901,WP_023891434.1
26,GCF_002741495.1_ASM274149v1_feature_table.txt,GCF_002741495.1,562,WP_000202162.1
27,GCF_024582605.1_ASM2458260v1_feature_table.txt,GCF_024582605.1,573,WP_032749552.1
28,GCF_001215525.1_5275_1_9_feature_table.txt,GCF_001215525.1,28901,WP_023891434.1
29,GCF_002053045.1_ASM205304v1_feature_table.txt,GCF_002053045.1,28901,WP_001650217.1
