Featuretable,Genome,TaxID,Prot_ID
GCF_016405215.1_ASM1640521v1_feature_table.txt,GCF_016405215.1,2487355,WP_034126473.1
GCF_904866325.1_INF299_feature_table.txt,GCF_904866325.1,573,WP_094067220.1
GCF_021095635.1_ASM2109563v1_feature_table.txt,GCF_021095635.1,584,WP_036907530.1
GCF_014332855.1_ASM1433285v1_feature_table.txt,GCF_014332855.1,546,WP_187258584.1
GCF_019930905.1_ASM1993090v1_feature_table.txt,GCF_019930905.1,197575,WP_005684834.1
GCF_028483145.1_ASM2848314v1_feature_table.txt,GCF_028483145.1,2949811,WP_241543652.1
GCF_002002305.1_ASM200230v1_feature_table.txt,GCF_002002305.1,562,WP_077396021.1
GCF_020641055.1_ASM2064105v1_feature_table.txt,GCF_020641055.1,2770776,WP_227436021.1
GCF_009873565.1_ASM987356v1_feature_table.txt,GCF_009873565.1,204039,WP_161131622.1
GCF_013522665.1_HS_1_feature_table.txt,GCF_013522665.1,2487355,WP_034126473.1
GCF_001456155.1_ASM145615v1_feature_table.txt,GCF_001456155.1,1721091,WP_062160785.1
GCF_022220845.1_ASM2222084v1_feature_table.txt,GCF_022220845.1,34021,WP_015452847.1
GCF_015217905.1_ASM1521790v1_feature_table.txt,GCF_015217905.1,756892,WP_180192457.1
GCF_000090405.2_ASM9040v2_feature_table.txt,GCF_000090405.2,146919,WP_013060214.1
GCF_014358055.1_ASM1435805v1_feature_table.txt,GCF_014358055.1,321846,WP_010212724.1
GCF_003590815.1_ASM359081v1_feature_table.txt,GCF_003590815.1,2320857,WP_119764629.1
GCF_003984285.1_ASM398428v1_feature_table.txt,GCF_003984285.1,562,WP_000287234.1
GCF_000960665.1_ASM96066v1_feature_table.txt,GCF_000960665.1,670,WP_020840871.1
GCF_018860475.1_ASM1886047v1_feature_table.txt,GCF_018860475.1,156994,WP_216011774.1
GCF_029872675.1_ASM2987267v1_feature_table.txt,GCF_029872675.1,817,WP_032574317.1
GCF_001006125.1_ASM100612v1_feature_table.txt,GCF_001006125.1,670,WP_020840871.1
GCF_014636685.1_ASM1463668v1_feature_table.txt,GCF_014636685.1,1627892,WP_089369984.1
GCF_015160095.1_ASM1516009v1_feature_table.txt,GCF_015160095.1,562,WP_000331648.1
GCF_000468635.1_PbaroF0067v1.0_feature_table.txt,GCF_000468635.1,305719,WP_021588775.1
GCF_000801795.1_PfAU6026_feature_table.txt,GCF_000801795.1,294,WP_034126473.1
GCF_006372255.1_ASM637225v1_feature_table.txt,GCF_006372255.1,670,WP_020840871.1
GCF_003001555.1_ASM300155v1_feature_table.txt,GCF_003001555.1,294,WP_034126473.1
