,Featuretable,Genome,TaxID,Prot_ID
0,GCF_014103465.1_ASM1410346v1_feature_table.txt,GCF_014103465.1,1499973,WP_181478565.1
1,GCF_001083785.1_Nonomuraea_sp_SBT364_SPAdes_SSPACE_feature_table.txt,GCF_001083785.1,1580530,WP_082310440.1
2,GCF_025176705.1_ASM2517670v1_feature_table.txt,GCF_025176705.1,573,WP_001084068.1
3,GCF_001177125.1_6903_6_10_feature_table.txt,GCF_001177125.1,1336,WP_012679986.1
4,GCF_002979115.1_ASM297911v1_feature_table.txt,GCF_002979115.1,413497,WP_105647716.1
5,GCF_900046005.1_7521_6_1_feature_table.txt,GCF_900046005.1,1280,WP_000711499.1
6,GCF_002090545.1_ASM209054v1_feature_table.txt,GCF_002090545.1,28901,WP_058655985.1
7,GCF_021375815.1_ASM2137581v1_feature_table.txt,GCF_021375815.1,1352,WP_048946584.1
8,GCF_956459795.1_2_P1_4_feature_table.txt,GCF_956459795.1,573,WP_115188897.1
9,GCF_018598405.1_ASM1859840v1_feature_table.txt,GCF_018598405.1,2035,WP_214543757.1
10,GCF_029783485.1_ASM2978348v1_feature_table.txt,GCF_029783485.1,1502,WP_087326865.1
11,GCF_904866325.1_INF299_feature_table.txt,GCF_904866325.1,573,WP_019704555.1
12,GCF_009832265.1_ASM983226v1_feature_table.txt,GCF_009832265.1,573,WP_227598827.1
13,GCF_020819795.1_ASM2081979v1_feature_table.txt,GCF_020819795.1,1502,WP_003456581.1
14,GCF_000943095.1_ST15_feature_table.txt,GCF_000943095.1,573,WP_019704555.1
15,GCF_001294745.1_ASM129474v1_feature_table.txt,GCF_001294745.1,86103,"WP_053954604.1, WP_053954603.1"
16,GCF_021109615.1_ASM2110961v1_feature_table.txt,GCF_021109615.1,562,WP_021574262.1
17,GCF_009916625.1_ASM991662v1_feature_table.txt,GCF_009916625.1,1336,WP_012679986.1
18,GCF_005041165.1_ASM504116v1_feature_table.txt,GCF_005041165.1,562,WP_062872290.1
19,GCF_003984445.1_ASM398444v1_feature_table.txt,GCF_003984445.1,562,WP_001461537.1
20,GCF_016888225.1_ASM1688822v1_feature_table.txt,GCF_016888225.1,1280,WP_000711493.1
21,GCF_020639365.1_ASM2063936v1_feature_table.txt,GCF_020639365.1,66888,WP_229333903.1
22,GCF_004830605.1_ASM483060v1_feature_table.txt,GCF_004830605.1,573,WP_032418607.1
23,GCF_017897805.1_ASM1789780v1_feature_table.txt,GCF_017897805.1,1311,WP_000522367.1
24,GCF_001018175.1_ASM101817v1_feature_table.txt,GCF_001018175.1,1311,WP_000522367.1
25,GCF_002150945.1_ASM215094v1_feature_table.txt,GCF_002150945.1,28447,WP_086506495.1
26,GCF_900084325.1_11983_8_54_feature_table.txt,GCF_900084325.1,573,WP_071059013.1
27,GCF_017051845.1_ASM1705184v1_feature_table.txt,GCF_017051845.1,66269,WP_205950598.1
28,GCF_021495025.1_ASM2149502v1_feature_table.txt,GCF_021495025.1,2508708,WP_006586495.1
29,GCF_002521955.1_ASM252195v1_feature_table.txt,GCF_002521955.1,562,WP_000897030.1
30,GCF_017592985.1_ASM1759298v1_feature_table.txt,GCF_017592985.1,562,WP_054632407.1
31,GCF_001707835.1_ASM170783v1_feature_table.txt,GCF_001707835.1,1841610,WP_068851585.1
32,GCF_003981215.1_ASM398121v1_feature_table.txt,GCF_003981215.1,562,WP_000897032.1
33,GCF_002737025.1_ASM273702v1_feature_table.txt,GCF_002737025.1,29497,WP_061024050.1
34,GCF_001606465.1_ASM160646v1_feature_table.txt,GCF_001606465.1,562,WP_025649891.1
35,GCF_902499435.1_SB5913_feature_table.txt,GCF_902499435.1,1463165,WP_004202356.1
36,GCF_030182885.1_ASM3018288v1_feature_table.txt,GCF_030182885.1,573,WP_040213960.1
37,GCF_900044885.1_7748_6_1_feature_table.txt,GCF_900044885.1,1280,WP_000711499.1
38,GCF_015706455.1_ASM1570645v1_feature_table.txt,GCF_015706455.1,1352,WP_002303264.1
39,GCF_023634625.1_ASM2363462v1_feature_table.txt,GCF_023634625.1,1280,WP_000711497.1
40,GCF_019973635.1_ASM1997363v1_feature_table.txt,GCF_019973635.1,54291,WP_032419941.1
41,GCF_000958155.1_ASM95815v1_feature_table.txt,GCF_000958155.1,158836,WP_045346132.1
42,GCF_013303285.1_ASM1330328v1_feature_table.txt,GCF_013303285.1,33038,WP_173882840.1
43,GCF_002512815.1_ASM251281v1_feature_table.txt,GCF_002512815.1,562,WP_024234465.1
44,GCF_025822585.1_ASM2582258v1_feature_table.txt,GCF_025822585.1,126673,WP_085189576.1
45,GCF_022844895.1_ASM2284489v1_feature_table.txt,GCF_022844895.1,1352,WP_048946584.1
46,GCF_030062155.1_ASM3006215v1_feature_table.txt,GCF_030062155.1,3028622,WP_283544972.1
47,GCF_004315165.1_ASM431516v1_feature_table.txt,GCF_004315165.1,1496,WP_021387471.1
48,GCF_002965885.1_ASM296588v1_feature_table.txt,GCF_002965885.1,2093886,WP_236942179.1
49,GCF_029078485.1_ASM2907848v1_feature_table.txt,GCF_029078485.1,1280,WP_000711493.1
50,GCF_014634365.1_ASM1463436v1_feature_table.txt,GCF_014634365.1,666,WP_119773281.1
51,GCF_000647875.1_ASM64787v1_feature_table.txt,GCF_000647875.1,1157636,WP_028416977.1
52,GCF_001177425.1_6903_5_88_feature_table.txt,GCF_001177425.1,1336,WP_012679986.1
53,GCF_000414195.2_ASM41419v2_feature_table.txt,GCF_000414195.2,1241306,WP_119182611.1
54,GCF_019510305.1_ASM1951030v1_feature_table.txt,GCF_019510305.1,51671,WP_292905454.1
55,GCF_026223285.1_ASM2622328v1_feature_table.txt,GCF_026223285.1,573,WP_064173340.1
56,GCF_002270175.1_ASM227017v1_feature_table.txt,GCF_002270175.1,562,WP_249541998.1
57,GCF_900504095.1_19084_3_141_feature_table.txt,GCF_900504095.1,573,WP_032418607.1
58,GCF_900636405.1_41767_E01_feature_table.txt,GCF_900636405.1,1499973,WP_001535192.1
59,GCF_934772465.1_ERR7745858_bin.156_feature_table.txt,GCF_934772465.1,1505656,WP_288524593.1
60,GCF_900775975.1_27097_7_121-2_feature_table.txt,GCF_900775975.1,573,WP_228262787.1
61,GCF_900504445.1_19084_3_18_feature_table.txt,GCF_900504445.1,573,WP_032418607.1
62,GCF_014894965.1_ASM1489496v1_feature_table.txt,GCF_014894965.1,562,WP_000195116.1
63,GCF_026410665.1_ASM2641066v1_feature_table.txt,GCF_026410665.1,573,WP_019704555.1
64,GCF_001726515.1_ASM172651v1_feature_table.txt,GCF_001726515.1,670,WP_170827226.1
65,GCF_000250555.1_ASM25055v2_feature_table.txt,GCF_000250555.1,562,WP_001084068.1
66,GCF_020857895.1_ASM2085789v1_feature_table.txt,GCF_020857895.1,244366,WP_224224941.1
67,GCF_014878225.1_ASM1487822v1_feature_table.txt,GCF_014878225.1,1590,WP_063490407.1
68,GCF_900110985.1_IMG-taxon_2663762721_annotated_assembly_feature_table.txt,GCF_900110985.1,200379,WP_090072539.1
69,GCF_003335785.1_ASM333578v1_feature_table.txt,GCF_003335785.1,1352,WP_002303264.1
70,GCF_001574125.1_ASM157412v1_feature_table.txt,GCF_001574125.1,1491,WP_012703858.1
71,GCF_000705035.1_SE8400_feature_table.txt,GCF_000705035.1,1282,WP_229381435.1
72,GCF_011754435.1_ASM1175443v1_feature_table.txt,GCF_011754435.1,582,WP_166707714.1
73,GCF_013111245.1_ASM1311124v1_feature_table.txt,GCF_013111245.1,666,WP_000796521.1
74,GCF_003692775.1_ASM369277v1_feature_table.txt,GCF_003692775.1,2069356,WP_233551998.1
75,GCF_003077135.1_ASM307713v1_feature_table.txt,GCF_003077135.1,28901,WP_000262085.1
76,GCF_900635415.1_E6043_hybrid_assembly_feature_table.txt,GCF_900635415.1,1352,WP_002303264.1
77,GCF_009649745.1_ASM964974v1_feature_table.txt,GCF_009649745.1,930132,WP_153735197.1
78,GCF_900156055.1_IMG-taxon_2708742397_annotated_assembly_feature_table.txt,GCF_900156055.1,1907413,WP_076394505.1
