,Featuretable,Genome,TaxID,Prot_ID
0,GCF_021013155.1_ASM2101315v1_feature_table.txt,GCF_021013155.1,287,WP_023120259.1
1,GCF_001481135.1_Salmonella_enterica_CVM_N42479_v1.0_feature_table.txt,GCF_001481135.1,28901,"WP_023241521.1, WP_047596084.1"
2,GCF_000807045.1_CFSAN024715_01.0_feature_table.txt,GCF_000807045.1,28901,WP_000644477.1
3,GCF_025421895.1_ASM2542189v1_feature_table.txt,GCF_025421895.1,562,WP_001028465.1
4,GCF_004360785.1_ASM436078v1_feature_table.txt,GCF_004360785.1,28901,WP_000877028.1
5,GCF_000805715.1_Providencia_rettgeri_CCBH11880_NDM-1_feature_table.txt,GCF_000805715.1,587,WP_042847881.1
6,GCF_002979115.1_ASM297911v1_feature_table.txt,GCF_002979115.1,413497,WP_105693518.1
7,GCF_022968195.1_ASM2296819v1_feature_table.txt,GCF_022968195.1,1463165,WP_001064347.1
8,GCF_002549575.1_ASM254957v1_feature_table.txt,GCF_002549575.1,562,WP_001028465.1
9,GCF_000264015.1_ASM26401v1_feature_table.txt,GCF_000264015.1,562,WP_001016387.1
10,GCF_020255405.1_ASM2025540v1_feature_table.txt,GCF_020255405.1,470,WP_001056868.1
11,GCF_900158335.1_9803_4_31_feature_table.txt,GCF_900158335.1,624,WP_000839225.1
12,GCF_002968135.1_ASM296813v1_feature_table.txt,GCF_002968135.1,621,WP_001028468.1
13,GCF_000456905.1_Esch_coli_HVH_61_4-2736020_V1_feature_table.txt,GCF_000456905.1,562,WP_001059340.1
14,GCF_000457065.1_Esch_coli_HVH_76_4-2538717_V1_feature_table.txt,GCF_000457065.1,562,WP_001059339.1
15,GCF_000471585.1_E_coliWa1-1.0_feature_table.txt,GCF_000471585.1,562,WP_000839224.1
16,GCF_030033325.1_ASM3003332v1_feature_table.txt,GCF_030033325.1,28901,WP_001530409.1
17,GCF_025751035.1_ASM2575103v1_feature_table.txt,GCF_025751035.1,562,WP_001504034.1
18,GCF_002512275.1_ASM251227v1_feature_table.txt,GCF_002512275.1,562,WP_000839225.1
19,GCF_001012275.1_CFSAN026791_01.0_feature_table.txt,GCF_001012275.1,562,WP_001059339.1
20,GCF_013424185.1_ASM1342418v1_feature_table.txt,GCF_013424185.1,562,"WP_180505596.1, WP_001028465.1, WP_024185488.1"
21,GCF_026612945.1_ASM2661294v1_feature_table.txt,GCF_026612945.1,562,WP_000839225.1
22,GCF_900015885.1_ED729_contigs_feature_table.txt,GCF_900015885.1,562,WP_001016387.1
23,GCF_001931555.1_ASM193155v1_feature_table.txt,GCF_001931555.1,28901,"WP_023994441.1, WP_000644477.1"
24,GCF_016805905.1_ASM1680590v1_feature_table.txt,GCF_016805905.1,562,WP_000877024.1
25,GCF_029310035.1_ASM2931003v1_feature_table.txt,GCF_029310035.1,158836,"WP_276187148.1, WP_032612185.1"
26,GCF_017051845.1_ASM1705184v1_feature_table.txt,GCF_017051845.1,66269,WP_205950393.1
27,GCF_014491865.1_ASM1449186v1_feature_table.txt,GCF_014491865.1,2665592,WP_015995148.1
28,GCF_000755055.1_YEG_1_feature_table.txt,GCF_000755055.1,630,WP_005174478.1
29,GCF_003039375.1_ASM303937v1_feature_table.txt,GCF_003039375.1,470,WP_057078075.1
30,GCF_019677745.1_ASM1967774v1_feature_table.txt,GCF_019677745.1,573,WP_060613549.1
31,GCF_024104115.1_ASM2410411v1_feature_table.txt,GCF_024104115.1,1891236,WP_296207384.1
32,GCF_017592985.1_ASM1759298v1_feature_table.txt,GCF_017592985.1,562,"WP_208482986.1, WP_113383033.1"
33,GCF_019192905.1_ASM1919290v1_feature_table.txt,GCF_019192905.1,470,WP_004738463.1
34,GCF_003981215.1_ASM398121v1_feature_table.txt,GCF_003981215.1,562,WP_000839225.1
35,GCF_028492645.1_ASM2849264v1_feature_table.txt,GCF_028492645.1,28901,WP_023138247.1
36,GCF_029954415.1_ASM2995441v1_feature_table.txt,GCF_029954415.1,287,WP_003085732.1
37,GCF_019281995.1_ASM1928199v1_feature_table.txt,GCF_019281995.1,562,WP_001059339.1
38,GCF_001221325.1_8080_3_16_feature_table.txt,GCF_001221325.1,28901,WP_000877028.1
