Featuretable,Genome,TaxID,Prot_ID
GCF_015697215.1_ASM1569721v1_feature_table.txt,GCF_015697215.1,562,WP_000380252.1
GCF_000471585.1_E_coliWa1-1.0_feature_table.txt,GCF_000471585.1,562,WP_000380252.1
GCF_900061575.1_10771_3_12_feature_table.txt,GCF_900061575.1,446,WP_011945361.1
GCF_002080675.1_ASM208067v1_feature_table.txt,GCF_002080675.1,562,WP_000380253.1
GCF_009677285.1_ASM967728v1_feature_table.txt,GCF_009677285.1,823,WP_117910967.1
GCF_019677745.1_ASM1967774v1_feature_table.txt,GCF_019677745.1,573,WP_038807820.1
GCF_026131025.1_ASM2613102v1_feature_table.txt,GCF_026131025.1,29486,WP_145522377.1
GCF_002106735.1_ASM210673v1_feature_table.txt,GCF_002106735.1,28901,WP_000059556.1
GCF_000147275.1_ASM14727v1_feature_table.txt,GCF_000147275.1,1351,WP_002381584.1
GCF_028492645.1_ASM2849264v1_feature_table.txt,GCF_028492645.1,28901,WP_023226317.1
GCF_030239205.1_ASM3023920v1_feature_table.txt,GCF_030239205.1,573,WP_004223862.1
GCF_030169715.1_ASM3016971v1_feature_table.txt,GCF_030169715.1,49283,WP_284655964.1
GCF_000171255.1_ASM17125v1_feature_table.txt,GCF_000171255.1,28901,WP_001528740.1
GCF_024999075.1_ASM2499907v1_feature_table.txt,GCF_024999075.1,62322,WP_259590924.1
GCF_027689755.1_ASM2768975v1_feature_table.txt,GCF_027689755.1,47678,WP_149921875.1
GCF_010915715.1_ASM1091571v1_feature_table.txt,GCF_010915715.1,562,WP_000380252.1
GCF_900187275.1_51765_F01_feature_table.txt,GCF_900187275.1,747,WP_014326449.1
GCF_002303575.1_ASM230357v1_feature_table.txt,GCF_002303575.1,1496,WP_022621271.1
GCF_013167515.1_ASM1316751v1_feature_table.txt,GCF_013167515.1,562,WP_000380252.1
GCF_002473995.1_ASM247399v1_feature_table.txt,GCF_002473995.1,562,WP_000380252.1
GCF_002270175.1_ASM227017v1_feature_table.txt,GCF_002270175.1,562,WP_249541992.1
GCF_001954295.1_ASM195429v1_feature_table.txt,GCF_001954295.1,189426,WP_076100817.1
GCF_900636405.1_41767_E01_feature_table.txt,GCF_900636405.1,1499973,WP_000380252.1
GCF_015262355.1_ASM1526235v1_feature_table.txt,GCF_015262355.1,470565,WP_278545563.1
GCF_020216405.1_ASM2021640v1_feature_table.txt,GCF_020216405.1,562,WP_000380252.1
