,Featuretable,Genome,TaxID,Prot_ID
0,GCF_002979115.1_ASM297911v1_feature_table.txt,GCF_002979115.1,413497,WP_105693565.1
1,GCF_956459795.1_2_P1_4_feature_table.txt,GCF_956459795.1,573,WP_123827665.1
2,GCF_904866325.1_INF299_feature_table.txt,GCF_904866325.1,573,WP_123827665.1
3,GCF_021095635.1_ASM2109563v1_feature_table.txt,GCF_021095635.1,584,WP_071425311.1
4,GCF_028483485.1_ASM2848348v1_feature_table.txt,GCF_028483485.1,2949794,WP_272537031.1
5,GCF_030126565.1_ASM3012656v1_feature_table.txt,GCF_030126565.1,413502,WP_283987874.1
6,GCF_902499435.1_SB5913_feature_table.txt,GCF_902499435.1,1463165,WP_087761676.1
7,GCF_028616775.1_ASM2861677v1_feature_table.txt,GCF_028616775.1,587,WP_273804361.1
8,GCF_001066855.1_ASM106685v1_feature_table.txt,GCF_001066855.1,584,WP_004251562.1
9,GCF_020907685.1_ASM2090768v1_feature_table.txt,GCF_020907685.1,562,WP_223571414.1
10,GCF_028479425.1_ASM2847942v1_feature_table.txt,GCF_028479425.1,2949908,"WP_154599362.1, WP_154599359.1"
11,GCF_002974795.1_ASM297479v1_feature_table.txt,GCF_002974795.1,28141,WP_032803492.1
12,GCF_018275265.1_ASM1827526v1_feature_table.txt,GCF_018275265.1,573,WP_123609186.1
13,GCF_015643915.1_ASM1564391v1_feature_table.txt,GCF_015643915.1,1463165,WP_071889494.1
14,GCF_903935835.1_ASM_IMP12_feature_table.txt,GCF_903935835.1,573,WP_071561202.1
15,GCF_028826025.1_ASM2882602v1_feature_table.txt,GCF_028826025.1,546,WP_001549116.1
16,GCF_010597725.1_ASM1059772v1_feature_table.txt,GCF_010597725.1,584,WP_004251562.1
17,GCF_026240535.1_ASM2624053v1_feature_table.txt,GCF_026240535.1,573,WP_057775156.1
18,GCF_028463795.1_ASM2846379v1_feature_table.txt,GCF_028463795.1,584,WP_135024820.1
19,GCF_003123265.1_ASM312326v1_feature_table.txt,GCF_003123265.1,562,WP_223571414.1
20,GCF_000356745.2_ASM35674v2_feature_table.txt,GCF_000356745.2,562,WP_001386898.1
21,GCF_016837785.1_ASM1683778v1_feature_table.txt,GCF_016837785.1,562,WP_044071374.1
22,GCF_029118715.1_ASM2911871v1_feature_table.txt,GCF_029118715.1,584,"WP_004251562.1, WP_017827417.1"
23,GCF_003964705.1_ASM396470v1_feature_table.txt,GCF_003964705.1,61645,WP_001549116.1
24,GCF_015721745.1_ASM1572174v1_feature_table.txt,GCF_015721745.1,1134687,WP_123609186.1
25,GCF_900485005.1_19646_6_25_feature_table.txt,GCF_900485005.1,624,WP_046788843.1
26,GCF_003298885.1_ASM329888v1_feature_table.txt,GCF_003298885.1,562,WP_001542487.1
27,GCF_022540195.1_ASM2254019v1_feature_table.txt,GCF_022540195.1,615,WP_241166776.1
28,GCF_021136735.1_ASM2113673v1_feature_table.txt,GCF_021136735.1,573,WP_123827665.1
29,GCF_026115035.1_ASM2611503v1_feature_table.txt,GCF_026115035.1,158836,WP_071785226.1
30,GCF_001249555.1_Sg_201401054_AGTCAA_L001_feature_table.txt,GCF_001249555.1,624,WP_001542487.1
31,GCF_030127985.1_ASM3012798v1_feature_table.txt,GCF_030127985.1,573,"WP_044242667.1, WP_057775156.1"
32,GCF_002853735.1_ASM285373v1_feature_table.txt,GCF_002853735.1,573,WP_133259458.1
33,GCF_002853285.1_ASM285328v1_feature_table.txt,GCF_002853285.1,573,WP_100723106.1
34,GCF_016107405.1_ASM1610740v1_feature_table.txt,GCF_016107405.1,573,WP_123827665.1
35,GCF_019856575.1_ASM1985657v1_feature_table.txt,GCF_019856575.1,573,WP_057775156.1
36,GCF_028480905.1_ASM2848090v1_feature_table.txt,GCF_028480905.1,2949866,WP_096863874.1
37,GCF_007993115.1_ASM799311v1_feature_table.txt,GCF_007993115.1,28901,WP_021000650.1
38,GCF_900504435.1_19084_3_179_feature_table.txt,GCF_900504435.1,573,WP_057775156.1
39,GCF_029109915.1_ASM2910991v1_feature_table.txt,GCF_029109915.1,584,WP_107034570.1
40,GCF_008642005.1_ASM864200v1_feature_table.txt,GCF_008642005.1,158836,WP_123977295.1
41,GCF_030334995.1_ASM3033499v1_feature_table.txt,GCF_030334995.1,584,WP_135024820.1
42,GCF_000713415.1_ASM71341v1_feature_table.txt,GCF_000713415.1,562,WP_223571414.1
43,GCF_003936435.1_ASM393643v1_feature_table.txt,GCF_003936435.1,573,WP_123827665.1
44,GCF_023897125.1_ASM2389712v1_feature_table.txt,GCF_023897125.1,158836,WP_001549116.1
45,GCF_030332185.1_ASM3033218v1_feature_table.txt,GCF_030332185.1,2985163,WP_199985280.1
46,GCF_013784065.1_ASM1378406v1_feature_table.txt,GCF_013784065.1,2742657,WP_181604054.1
47,GCF_002265395.1_ASM226539v1_feature_table.txt,GCF_002265395.1,587,WP_004253383.1
48,GCF_030224465.1_ASM3022446v1_feature_table.txt,GCF_030224465.1,584,"WP_004251562.1, WP_135024820.1"
49,GCF_904831875.1_L5_E1779_ETEC_feature_table.txt,GCF_904831875.1,562,WP_001386898.1
50,GCF_002066195.1_ASM206619v1_feature_table.txt,GCF_002066195.1,28901,WP_080153524.1
51,GCF_003573795.1_ASM357379v1_feature_table.txt,GCF_003573795.1,573,WP_123827665.1
52,GCF_902160225.1_25426_7_157_feature_table.txt,GCF_902160225.1,2058152,WP_123609186.1
53,GCF_003123315.1_ASM312331v1_feature_table.txt,GCF_003123315.1,562,WP_223571414.1
54,GCF_022540795.1_ASM2254079v1_feature_table.txt,GCF_022540795.1,615,WP_241166776.1
55,GCF_900451385.1_45709_E01_feature_table.txt,GCF_900451385.1,573,WP_071561202.1
56,GCF_013413045.1_ASM1341304v1_feature_table.txt,GCF_013413045.1,562,WP_223571414.1
57,GCF_026624385.1_ASM2662438v1_feature_table.txt,GCF_026624385.1,562,WP_000859301.1
58,GCF_016925315.1_ASM1692531v1_feature_table.txt,GCF_016925315.1,573,WP_123827665.1
59,GCF_013424195.1_ASM1342419v1_feature_table.txt,GCF_013424195.1,562,WP_214678969.1
60,GCF_001218645.1_4821_7_4_feature_table.txt,GCF_001218645.1,33060,WP_050535701.1
61,GCF_021138155.1_ASM2113815v1_feature_table.txt,GCF_021138155.1,573,WP_057775156.1
62,GCF_900505915.1_19084_4_45_feature_table.txt,GCF_900505915.1,573,WP_123609186.1
63,GCF_028480705.1_ASM2848070v1_feature_table.txt,GCF_028480705.1,2949876,WP_166685384.1
64,GCF_002975035.1_ASM297503v1_feature_table.txt,GCF_002975035.1,28141,WP_032803492.1
65,GCF_001975405.1_ASM197540v1_feature_table.txt,GCF_001975405.1,28901,WP_058106381.1
66,GCF_010591405.1_ASM1059140v1_feature_table.txt,GCF_010591405.1,584,WP_004251562.1
67,GCF_029526155.1_ASM2952615v1_feature_table.txt,GCF_029526155.1,573,WP_123827665.1
68,GCF_014925945.1_ASM1492594v1_feature_table.txt,GCF_014925945.1,562,WP_223571414.1
69,GCF_013357565.1_ASM1335756v1_feature_table.txt,GCF_013357565.1,584,WP_135024820.1
70,GCF_024656125.1_ASM2465612v1_feature_table.txt,GCF_024656125.1,573,WP_123827665.1
71,GCF_014491695.1_ASM1449169v1_feature_table.txt,GCF_014491695.1,2665598,WP_021000650.1
72,GCF_000351145.1_Esch_coli_KTE210_V1_feature_table.txt,GCF_000351145.1,562,WP_001542487.1
73,GCF_013371685.1_ASM1337168v1_feature_table.txt,GCF_013371685.1,562,WP_001542487.1
74,GCF_023146915.1_ASM2314691v1_feature_table.txt,GCF_023146915.1,573,WP_123827665.1
75,GCF_002063995.1_ASM206399v1_feature_table.txt,GCF_002063995.1,28901,WP_021000650.1
76,GCF_005385025.1_ASM538502v1_feature_table.txt,GCF_005385025.1,562,WP_001683857.1
77,GCF_004570235.1_ASM457023v1_feature_table.txt,GCF_004570235.1,584,WP_071425311.1
78,GCF_022585365.1_ASM2258536v1_feature_table.txt,GCF_022585365.1,573,WP_123827665.1
79,GCF_002334745.1_ASM233474v1_feature_table.txt,GCF_002334745.1,158836,WP_071785226.1
80,GCF_900512345.2_GCA_900512345_feature_table.txt,GCF_900512345.2,573,WP_172952054.1
81,GCF_002992105.1_ASM299210v1_feature_table.txt,GCF_002992105.1,562,WP_044071374.1
82,GCF_002035495.1_ASM203549v1_feature_table.txt,GCF_002035495.1,28901,WP_021000650.1
83,GCF_000463095.2_CroSakNCIMB8271_1.0_feature_table.txt,GCF_000463095.2,28141,WP_032803492.1
84,GCF_030334765.1_ASM3033476v1_feature_table.txt,GCF_030334765.1,584,WP_004251562.1
85,GCF_028655215.1_ASM2865521v1_feature_table.txt,GCF_028655215.1,573,WP_123827665.1
86,GCF_017775455.1_ASM1777545v1_feature_table.txt,GCF_017775455.1,562,WP_223571414.1
87,GCF_022802435.1_ASM2280243v1_feature_table.txt,GCF_022802435.1,584,"WP_004251562.1, WP_135024820.1"
88,GCF_025987865.1_ASM2598786v1_feature_table.txt,GCF_025987865.1,584,WP_004251562.1
89,GCF_029351345.1_ASM2935134v1_feature_table.txt,GCF_029351345.1,562,WP_231365138.1
90,GCF_000427805.1_ASM42780v1_feature_table.txt,GCF_000427805.1,82979,"WP_029094205.1, WP_029093615.1, WP_029092667.1"
91,GCF_002199045.1_ASM219904v1_feature_table.txt,GCF_002199045.1,28141,WP_032803492.1
92,GCF_002983665.1_ASM298366v1_feature_table.txt,GCF_002983665.1,588,"WP_105874198.1, WP_225829655.1"
93,GCF_029434895.1_ASM2943489v1_feature_table.txt,GCF_029434895.1,584,WP_004251562.1
94,GCF_021727015.1_ASM2172701v1_feature_table.txt,GCF_021727015.1,573,WP_123827665.1
95,GCF_030052915.1_ASM3005291v1_feature_table.txt,GCF_030052915.1,573,WP_057775156.1
96,GCF_009791495.1_ASM979149v1_feature_table.txt,GCF_009791495.1,573,WP_123827665.1
97,GCF_001284705.1_8205_3_17_feature_table.txt,GCF_001284705.1,562,WP_231365138.1
98,GCF_900485515.1_19536_5_69_feature_table.txt,GCF_900485515.1,624,WP_112361857.1
99,GCF_018442055.1_ASM1844205v1_feature_table.txt,GCF_018442055.1,584,WP_004251562.1
100,GCF_020523735.1_ASM2052373v1_feature_table.txt,GCF_020523735.1,587,WP_226693848.1
101,GCF_004100405.1_ASM410040v1_feature_table.txt,GCF_004100405.1,2507058,WP_050097421.1
102,GCF_018474035.1_ASM1847403v1_feature_table.txt,GCF_018474035.1,573,WP_057775156.1
103,GCF_011602905.1_ASM1160290v1_feature_table.txt,GCF_011602905.1,584,WP_004251562.1
104,GCF_900493065.1_22036_6_54_feature_table.txt,GCF_900493065.1,1463165,WP_114260570.1
105,GCF_900075795.1_11983_6_48_feature_table.txt,GCF_900075795.1,158836,WP_001549116.1
106,GCF_905127515.1_Kp5151_feature_table.txt,GCF_905127515.1,573,WP_123827665.1
107,GCF_028481645.1_ASM2848164v1_feature_table.txt,GCF_028481645.1,2949851,WP_180312609.1
108,GCF_956464735.1_31_P1_13_feature_table.txt,GCF_956464735.1,573,WP_057775156.1
109,GCF_013413915.1_ASM1341391v1_feature_table.txt,GCF_013413915.1,562,WP_223571414.1
110,GCF_021650025.1_ASM2165002v1_feature_table.txt,GCF_021650025.1,158836,WP_129258220.1
111,GCF_015208385.1_ASM1520838v1_feature_table.txt,GCF_015208385.1,158836,WP_045284282.1
112,GCF_013704985.1_ASM1370498v1_feature_table.txt,GCF_013704985.1,573,WP_057775156.1
113,GCF_000496975.1_CE418_1_feature_table.txt,GCF_000496975.1,562,WP_223571414.1
114,GCF_004181915.1_ASM418191v1_feature_table.txt,GCF_004181915.1,158836,WP_001549116.1
115,GCF_013154545.1_ASM1315454v1_feature_table.txt,GCF_013154545.1,624,WP_153275789.1
116,GCF_902704445.1_Kpngiani7132501_feature_table.txt,GCF_902704445.1,573,WP_057775156.1
117,GCF_009915625.1_ASM991562v1_feature_table.txt,GCF_009915625.1,2698868,"WP_135023839.1, WP_161728980.1"
118,GCF_013418115.1_ASM1341811v1_feature_table.txt,GCF_013418115.1,2601142,WP_130072538.1
119,GCF_900158005.1_9789_6_93_feature_table.txt,GCF_900158005.1,624,WP_223571414.1
120,GCF_900077165.1_12045_4_47_feature_table.txt,GCF_900077165.1,550,WP_071785226.1
121,GCF_026228895.1_ASM2622889v1_feature_table.txt,GCF_026228895.1,584,WP_004251562.1
122,GCF_001052605.1_ASM105260v1_feature_table.txt,GCF_001052605.1,1812935,WP_001549116.1
123,GCF_028477705.1_ASM2847770v1_feature_table.txt,GCF_028477705.1,2949958,WP_004253383.1
124,GCF_003688015.1_ASM368801v1_feature_table.txt,GCF_003688015.1,588,"WP_040133280.1, WP_230088951.1"
125,GCF_018474745.1_ASM1847474v1_feature_table.txt,GCF_018474745.1,582,WP_109882370.1
126,GCF_002177145.2_ASM217714v2_feature_table.txt,GCF_002177145.2,158836,WP_003859807.1
127,GCF_900504875.1_19084_3_86_feature_table.txt,GCF_900504875.1,573,WP_123827665.1
128,GCF_026197695.1_ASM2619769v1_feature_table.txt,GCF_026197695.1,573,WP_123827665.1
129,GCF_019974415.1_ASM1997441v1_feature_table.txt,GCF_019974415.1,158836,WP_071785226.1
130,GCF_020178415.1_ASM2017841v1_feature_table.txt,GCF_020178415.1,573,WP_123827665.1
131,GCF_013204755.1_ASM1320475v1_feature_table.txt,GCF_013204755.1,630,WP_145603615.1
132,GCF_015694135.1_ASM1569413v1_feature_table.txt,GCF_015694135.1,562,WP_044069045.1
133,GCF_017164175.1_ASM1716417v1_feature_table.txt,GCF_017164175.1,562,WP_231365138.1
134,GCF_001248745.1_H14146070501_feature_table.txt,GCF_001248745.1,624,WP_044069045.1
135,GCF_002263325.2_ASM226332v2_feature_table.txt,GCF_002263325.2,28901,WP_021000650.1
136,GCF_009915865.1_ASM991586v1_feature_table.txt,GCF_009915865.1,2698849,WP_004251562.1
137,GCF_022370195.1_ASM2237019v1_feature_table.txt,GCF_022370195.1,573,WP_123827665.1
138,GCF_001971205.1_ASM197120v1_feature_table.txt,GCF_001971205.1,28141,WP_032803492.1
139,GCF_900485305.1_19646_6_24_feature_table.txt,GCF_900485305.1,624,WP_046788843.1
140,GCF_025377235.1_ASM2537723v1_feature_table.txt,GCF_025377235.1,573,WP_176222715.1
141,GCF_030163065.1_ASM3016306v1_feature_table.txt,GCF_030163065.1,562,WP_044069045.1
142,GCF_900083965.1_12045_6_81_feature_table.txt,GCF_900083965.1,571,WP_142669075.1
143,GCF_030185455.1_ASM3018545v1_feature_table.txt,GCF_030185455.1,573,WP_123827665.1
144,GCF_901456225.1_30_P_CF_hybrid_assembly_feature_table.txt,GCF_901456225.1,546,WP_071785226.1
145,GCF_028482425.1_ASM2848242v1_feature_table.txt,GCF_028482425.1,2949829,WP_004253383.1
146,GCF_002741535.1_ASM274153v1_feature_table.txt,GCF_002741535.1,562,WP_223571414.1
147,GCF_011684055.1_ASM1168405v1_feature_table.txt,GCF_011684055.1,573,WP_123827665.1
148,GCF_001903215.4_ASM190321v4_feature_table.txt,GCF_001903215.4,573,WP_123609186.1
149,GCF_027660855.1_ASM2766085v1_feature_table.txt,GCF_027660855.1,573,WP_071995091.1
